repo	policy	combined_status	cbm_run	cbm_status	cbm_nodes	cbm_symbol	cbm_path	cgc_run	cgc_status	cgc_files	cgc_functions	cgc_symbol	cgc_path	repo_path	note
ldbc_snb_interactive_v1_driver-src	code	CbmSemanticReadyCgcLowYield	ldbc_snb_interactive_v1_driver-src-20260624-125843	QueryReady	7906	decodeEvent	src/main/java/org/ldbcouncil/snb/driver/generator/CsvEventStreamReaderTimedTypedCharSeeker.java	ldbc_snb_interactive_v1_driver-src-20260624-125844	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_snb_interactive_v1_driver-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
ldbc_snb_interactive_v1_impls-src	code	CbmSemanticReadyCgcLowYield	ldbc_snb_interactive_v1_impls-src-20260624-125912	QueryReady	2619	gm_mean	visualization/plot.R	ldbc_snb_interactive_v1_impls-src-20260624-125913	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_snb_interactive_v1_impls-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
ldbc_snb_interactive_v2_driver-src	code	CbmSemanticReadyCgcLowYield	ldbc_snb_interactive_v2_driver-src-20260624-130014	QueryReady	7508	get_statistics_of_operation_stream	scripts/update_interleave_calculation.py	ldbc_snb_interactive_v2_driver-src-20260624-130014	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_snb_interactive_v2_driver-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
ldbc_snb_interactive_v2_impls-src	code	CbmSemanticReadyCgcLowYield	ldbc_snb_interactive_v2_impls-src-20260624-130043	QueryReady	2247	executeOperation	common/src/main/java/org/ldbcouncil/snb/impls/workloads/operationhandlers/UpdateOperationHandler.java	ldbc_snb_interactive_v2_impls-src-20260624-130043	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_snb_interactive_v2_impls-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
ligra-src	code	DualSemanticReady	ligra-src-20260624-130144	QueryReady	1081	all	apps/Makefile	ligra-src-20260624-130145	QueryReady	45	654			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ligra-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
materialize-src	code	CbmSemanticReadyCgcLowYield	materialize-src-20260624-130213	QueryReady	101450	parse_statements_with_limit	src/sql-parser/src/parser.rs	materialize-src-20260624-130226	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/materialize-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
memgraph-src	code	CbmSemanticReadyCgcLowYield	memgraph-src-20260624-130236	QueryReady	47810	WaitAndCombine	src/storage/v2/durability/snapshot.cpp	memgraph-src-20260624-130250	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/memgraph-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
minigraph-src	code	DualSemanticReady	minigraph-src-20260624-130356	QueryReady	1192	main	apps/cpp/wcc_vc_batch.cpp	minigraph-src-20260624-130402	QueryReady	88	414			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/minigraph-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
neo4j-browser-src	code	CbmSemanticReadyCgcLowYield	neo4j-browser-src-20260624-120655	QueryReady	5760	shouldCheckForHints	src/neo4j-arc/cypher-language-support/cypher-editor/CypherEditor.tsx	neo4j-browser-src-20260624-130420	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-browser-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
neo4rs-src	code	DualSemanticReady	neo4rs-src-20260624-120654	QueryReady	3128	map_with_extra_fields	lib/src/types/serde/typ.rs	neo4rs-src-20260624-115614	QueryReady	149	2042			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4rs-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
networkit-src	code	CbmSemanticReadyCgcLowYield	networkit-src-20260624-130550	QueryReady	8964	operator==	include/networkit/graph/Graph.hpp	networkit-src-20260624-130552	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/networkit-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
nornicdb-src	code	CbmSemanticReadyCgcLowYield	nornicdb-src-20260624-130630	QueryReady	40937	cypherparserParserInit	pkg/cypher/antlr/cypher_parser.go	nornicdb-src-20260624-130636	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/nornicdb-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
python-graphblas-src	code	CbmSemanticReadyCgcLowYield	python-graphblas-src-20260624-130722	QueryReady	2546	repr_html	graphblas/tests/test_formatting.py	python-graphblas-src-20260624-130723	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/python-graphblas-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
qdrant-src	code	CbmSemanticReadyCgcLowYield	qdrant-src-20260624-130806	QueryReady	30656	convert_shard_key_to_grpc	lib/api/src/grpc/conversions.rs	qdrant-src-20260624-130810	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/qdrant-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
redisgraph-src	code	CbmSemanticReadyCgcLowYield	redisgraph-src-20260624-130853	QueryReady	123765	GB	deps/GraphBLAS/Source/Generated2/GB_binop__land_fp32.c	redisgraph-src-20260624-130901	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/redisgraph-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
risingwave-src	code	CbmSemanticReadyCgcLowYield	risingwave-src-20260624-130940	QueryReady	72048	compare_kafka_offset	src/stream/src/executor/source/source_backfill_executor.rs	risingwave-src-20260624-130947	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/risingwave-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
rocksdb-src	code	CbmSemanticReadyCgcLowYield	rocksdb-src-20260624-142337	QueryReady	58943	T	third-party/gtest-1.8.1/fused-src/gtest/gtest.h	rocksdb-src-20260624-131031	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/rocksdb-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
rustworkx-src	code	CbmSemanticReadyCgcLowYield	rustworkx-src-20260624-131118	QueryReady	6641	is_cycle_check_required	src/digraph.rs	rustworkx-src-20260624-131118	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/rustworkx-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
sparsetools-src	code	DualSemanticReady	sparsetools-src-20260624-131248	QueryReady	383	diagonal	src/test.rs	sparsetools-src-20260624-131249	QueryReady	32	252			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/sparsetools-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
snap-src	code	CbmSemanticReadyCgcLowYield	snap-src-20260624-131201	QueryReady	29343	sqlite3BtreeEnter	glib-adv/sqlite3.c	snap-src-20260624-131212	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/snap-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
sprs-src	code	DualSemanticReady	sprs-src-20260624-131311	QueryReady	1665	filter_both_nnz	sprs/src/sparse/vec.rs	sprs-src-20260624-131311	QueryReady	98	948			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/sprs-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
tantivy-src	code	CbmSemanticReadyCgcLowYield	tantivy-src-20260624-131342	QueryReady	10845	build_coupon_cache	src/aggregation/metric/cardinality.rs	tantivy-src-20260624-131344	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/tantivy-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
thunderrw-src	code	DualSemanticReady	thunderrw-src-20260624-131400	QueryReady	1258	sfmt_genrand_uint32	dependency/SFMT-src-1.5.1/SFMT.h	thunderrw-src-20260624-131400	QueryReady	109	1061			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/thunderrw-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
timely-dataflow-src	code	DualSemanticReady	timely-dataflow-src-20260624-131516	QueryReady	2605	new_vector	communication/src/allocator/zero_copy/allocator.rs	timely-dataflow-src-20260624-131516	QueryReady	189	964			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/timely-dataflow-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
age-src	code	CbmSemanticReadyCgcLowYield	age-src-20260624-121827	QueryReady	4106	repalloc_check	src/backend/utils/adt/agtype.c	age-src-20260624-121828	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/age-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
apache-iggy-src	code	CbmSemanticReadyCgcLowYield	apache-iggy-src-20260624-120656	QueryReady	39223	FromCode	foreign/go/errors/errors_gen.go	apache-iggy-src-20260624-120703	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-iggy-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
apache-parquet-format-src	low_yield	GraphToolLowYield		SkippedDocsOnly					SkippedDocsOnly					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-parquet-format-src	docs/spec-first repo; text-first reading is preferred
cypher-dsl-src	code	CbmSemanticReadyCgcLowYield	cypher-dsl-src-20260624-142337	QueryReady	10847	label	neo4j-cypher-dsl/src/main/java/org/neo4j/cypherdsl/core/StatementCatalog.java	cypher-dsl-src-20260624-120655	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/cypher-dsl-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
fjall-src	code	DualSemanticReady	fjall-src-20260624-121114	QueryReady	1646	recover_keyspaces	src/recovery.rs	fjall-src-20260624-121114	QueryReady	178	597			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/fjall-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
gds-agent-src	code	CbmSemanticReadyCgcLowYield	gds-agent-src-20260624-120625	QueryReady	706	import_tube_data	import_data.py	gds-agent-src-20260624-120625	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/gds-agent-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
graph-data-science-src	code	DualSemanticReady	graph-data-science-src-20260624-120618	QueryReady	39	main	code/go/example.go	graph-data-science-src-20260624-120618	QueryReady	6	6			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/graph-data-science-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
ladybug-src	code	CbmSemanticReadyCgcLowYield	ladybug-src-20260624-121259	QueryReady	44753	make_unique	third_party/httplib/httplib.h	ladybug-src-20260624-121311	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ladybug-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
ldbc_graphalytics_docs-src	low_yield	GraphToolLowYield		SkippedDocsOnly					SkippedDocsOnly					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_graphalytics_docs-src	docs/spec-first repo; text-first reading is preferred
neo4j-apoc-procedures-src	code	CbmSemanticReadyCgcLowYield	neo4j-apoc-procedures-src-20260624-120631	QueryReady	21351	toIterator	core/src/main/java/apoc/export/arrow/ExportArrowFileStrategy.java	neo4j-apoc-procedures-src-20260624-120636	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-apoc-procedures-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-apoc-src	code	CbmSemanticReadyCgcLowYield	neo4j-apoc-src-20260624-120631	QueryReady	12286	parse	core/src/main/java/apoc/export/graphml/XmlGraphMLReader.java	neo4j-apoc-src-20260624-120635	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-apoc-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-docs-bolt-src	low_yield	GraphToolLowYield		SkippedDocsOnly					SkippedDocsOnly					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-docs-bolt-src	docs/spec-first repo; text-first reading is preferred
neo4j-dotnet-driver-src	code	CbmSemanticReadyCgcLowYield	neo4j-dotnet-driver-src-20260624-120607	QueryReady	12116	run	testkit/unittests.py	neo4j-dotnet-driver-src-20260624-120609	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-dotnet-driver-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-gds-client-src	code	CbmSemanticReadyCgcLowYield	neo4j-gds-client-src-20260624-142206	QueryReady	7899	run_around_tests	tests/integration/test_graph_construct.py	neo4j-gds-client-src-20260624-120631	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-gds-client-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-gds-src	code	CbmSemanticReadyCgcLowYield	neo4j-gds-src-20260624-120618	QueryReady	64763	unpack	core/src/main/java/org/neo4j/gds/core/compression/packed/AdjacencyUnpacking.java	neo4j-gds-src-20260624-120627	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-gds-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-go-driver-src	code	CbmSemanticReadyCgcLowYield	neo4j-go-driver-src-20260624-120607	QueryReady	3034	TestBolt5	neo4j/internal/bolt/bolt5_test.go	neo4j-go-driver-src-20260624-120608	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-go-driver-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-java-driver-src	code	CbmSemanticReadyCgcLowYield	neo4j-java-driver-src-20260624-120602	QueryReady	12870	decodePrivate	driver/src/main/java/org/neo4j/driver/internal/pki/PemFormats.java	neo4j-java-driver-src-20260624-120604	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-java-driver-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-javascript-driver-src	code	CbmSemanticReadyCgcLowYield	neo4j-javascript-driver-src-20260624-120607	QueryReady	8356	getSystemInfo	packages/core/test/internal/bolt-agent/browser/bolt-agent.test.ts	neo4j-javascript-driver-src-20260624-120608	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-javascript-driver-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-ogm-src	code	CbmSemanticReadyCgcLowYield	neo4j-ogm-src-20260624-142206	QueryReady	15579	getOrder	api/src/main/java/org/neo4j/ogm/spi/CypherModificationProvider.java	neo4j-ogm-src-20260624-120656	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-ogm-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-python-driver-src	code	CbmSemanticReadyCgcLowYield	neo4j-python-driver-src-20260624-120541	QueryReady	6866	snake_case_to_pascal_case	testkitbackend/_async/requests.py	neo4j-python-driver-src-20260624-120546	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-python-driver-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-src	code	CbmSemanticReadyCgcLowYield	neo4j-src-20260624-142206	QueryReady	233207	indexes	community/kernel-test/src/test/java/org/neo4j/kernel/api/index/EntityValueUpdatesTest.java	neo4j-src-20260624-120536	ZeroIndexed	0	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-src	cbm: direct follow-up query succeeded; cgc: index completed but semantic counts are zero
neo4j-testkit-src	code	DualSemanticReady	neo4j-testkit-src-20260624-120354	QueryReady	5284	test_dumps_full	boltstub/tests/simple_jolt/v3/test_parse.py	neo4j-testkit-src-20260624-120358	QueryReady	20	534			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/neo4j-testkit-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
opencypher-src	low_yield	GraphToolLowYield		SkippedDocsOnly					SkippedDocsOnly					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/opencypher-src	docs/spec-first repo; text-first reading is preferred
petgraph-src	code	DualSemanticReady	petgraph-src-20260624-121656	QueryReady	3246	set	crates/petgraph/tests/graph.rs	petgraph-src-20260624-121657	QueryReady	158	1924			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/petgraph-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
redb-src	code	DualSemanticReady	redb-src-20260624-121207	QueryReady	3411	create_tempfile	tests/integration_tests.rs	redb-src-20260624-121208	QueryReady	97	1907			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/redb-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
tracing-src	code	DualSemanticReady	tracing-src-20260624-121526	QueryReady	5350	pass	tracing-attributes/tests/ui.rs	tracing-src-20260624-121526	QueryReady	314	2961			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/tracing-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
tikv-src	code	CbmSemanticReadyCgcLowYield	tikv-src-20260624-131514	QueryReady	44211	get_raw_key_guard	src/storage/mod.rs	tikv-src-20260624-131521	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/tikv-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
