procedure_name	procedure_mode	annotation_source	facade	config_type	result_type	algorithm_family	estimate_method	memory_estimation_status	output_artifact	support_tier	unsupported_reason	confidence	falsifier
gds.alpha.allShortestPaths.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/all/AllShortestPathsStreamProc.java:49	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<AllShortestPathsStreamResult>	path_finding	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.closeness.harmonic.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/harmonic/DeprecatedTieredHarmonicCentralityStreamSpec.java:34	AlgorithmSpec loaded by procedure-collector	HarmonicCentralityStreamConfig	AlgorithmSpec class DeprecatedTieredHarmonicCentralityStreamSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.closeness.harmonic.stream	STREAM	algorithm-specifications/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityStreamSpec.java:34	AlgorithmSpec loaded by procedure-collector	HarmonicCentralityStreamConfig	AlgorithmSpec class HarmonicCentralityStreamSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.closeness.harmonic.stream	READ	proc/centrality/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityStreamProc.java:53	facade.algorithms	Map<String,Object> configuration	Stream<AlphaHarmonicStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.closeness.harmonic.write	WRITE_NODE_PROPERTY	algorithm-specifications/src/main/java/org/neo4j/gds/harmonic/DeprecatedTieredHarmonicCentralityWriteSpec.java:34	AlgorithmSpec loaded by procedure-collector	DeprecatedTieredHarmonicCentralityWriteConfig	AlgorithmSpec class DeprecatedTieredHarmonicCentralityWriteSpec	gds_public_surface	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	Neo4j write-back or export side effect	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.graph.graphProperty.drop	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropGraphPropertiesProc.java:42	facade.graphCatalog	Map<String,Object> configuration	Stream<GraphDropGraphPropertiesResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Catalog artifact removal	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.graph.graphProperty.stream	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamGraphPropertiesProc.java:43	facade.graphCatalog	Map<String,Object> configuration	Stream<StreamGraphPropertyResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.graph.nodeLabel.mutate	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMutateNodeLabelProc.java:50	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<MutateLabelResult>	graph_catalog	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.graph.nodeLabel.write	WRITE	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodeLabelProc.java:50	facade.graphCatalog	Map<String,Object> configuration	Stream<WriteLabelResult>	graph_catalog	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.graph.sample.rwr	READ	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java:56	facade.graphCatalog	Map<String,Object> configuration	Stream<RandomWalkSamplingResult>	graph_catalog	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.mutate	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsMutateProc.java:64	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<HitsMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.mutate.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsMutateProc.java:76	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.stats	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsStatsProc.java:61	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<HitsStatsResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.stats.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsStatsProc.java:82	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.stream	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsStreamProc.java:60	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<HitsStreamResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.stream.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsStreamProc.java:81	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.write	WRITE	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsWriteProc.java:61	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<HitsWriteResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.hits.write.estimate	READ	proc/centrality/src/main/java/org/neo4j/gds/hits/HitsWriteProc.java:82	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.knn.filtered.mutate	READ	proc/similarity/src/main/java/org/neo4j/gds/similarity/filteredknn/FilteredKnnMutateProc.java:60	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<KnnMutateResult>	similarity	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.knn.filtered.stats	READ	proc/similarity/src/main/java/org/neo4j/gds/similarity/filteredknn/FilteredKnnStatsProc.java:60	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<KnnStatsResult>	similarity	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.knn.filtered.write	WRITE	proc/similarity/src/main/java/org/neo4j/gds/similarity/filteredknn/FilteredKnnWriteProc.java:61	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<KnnWriteResult>	similarity	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.ml.splitRelationships.mutate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/splitting/SplitRelationshipsMutateProc.java:38	facade.algorithms	Map<String,Object> configuration	Stream<SplitRelationshipsMutateResult>	machine_learning_split_relationships	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.ml.splitRelationships.mutate	MUTATE_RELATIONSHIP	proc/machine-learning/src/main/java/org/neo4j/gds/ml/splitting/SplitRelationshipsMutateSpec.java:36	AlgorithmSpec loaded by procedure-collector	SplitRelationshipsMutateConfig	AlgorithmSpec class SplitRelationshipsMutateSpec	machine_learning_split_relationships	AlgorithmFactory.memoryEstimation or MemoryEstimateDefinition	Executor estimator required	In-memory catalog graph mutation	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.nodeSimilarity.filtered.mutate	READ	proc/similarity/src/main/java/org/neo4j/gds/similarity/filterednodesim/FilteredNodeSimilarityMutateProc.java:62	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<SimilarityMutateResult>	similarity	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.nodeSimilarity.filtered.mutate.estimate	READ	proc/similarity/src/main/java/org/neo4j/gds/similarity/filterednodesim/FilteredNodeSimilarityMutateProc.java:78	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	similarity	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.linkPrediction.addMLP	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineAddTrainerMethodProcs.java:76	facade.pipelines	config	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.linkPrediction.addRandomForest	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineAddTrainerMethodProcs.java:60	facade.pipelines	config, config	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.linkPrediction.configureAutoTuning	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/linkmodels/pipeline/LinkPredictionPipelineConfigureAutoTuningProc.java:38	facade.pipelines	Procedure parameters	Stream<PipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeClassification.addMLP	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineAddTrainerMethodProcs.java:71	facade.pipelines	config	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeClassification.addRandomForest	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineAddTrainerMethodProcs.java:57	facade.pipelines	config, config	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeClassification.configureAutoTuning	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/classification/NodeClassificationPipelineConfigureAutoTuningProc.java:38	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.addLinearRegression	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineAddTrainerMethodProcs.java:38	facade.pipelines	Map<String,Object> configuration	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.addNodeProperty	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineAddStepProcs.java:38	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.addRandomForest	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineAddTrainerMethodProcs.java:47	facade.pipelines	Map<String,Object> configuration	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.configureAutoTuning	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineConfigureAutoTuningProc.java:38	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.configureSplit	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineConfigureSplitProc.java:38	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.create	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineCreateProc.java:37	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.predict.mutate	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/predict/NodeRegressionPipelineMutateProc.java:39	facade.pipelines	Map<String,Object> configuration	Stream<PredictMutateResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.predict.stream	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/predict/NodeRegressionPipelineStreamProc.java:39	facade.pipelines	Map<String,Object> configuration	Stream<NodeRegressionStreamResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.selectFeatures	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/configure/NodeRegressionPipelineAddStepProcs.java:48	facade.pipelines	Procedure parameters	Stream<NodePipelineInfoResult>	machine_learning_pipeline	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Procedure result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.pipeline.nodeRegression.train	READ	proc/machine-learning/src/main/java/org/neo4j/gds/ml/pipeline/node/regression/NodeRegressionPipelineTrainProc.java:37	facade.pipelines	Map<String,Object> configuration	Stream<NodeRegressionPipelineTrainResult>	machine_learning_pipeline	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Model artifact plus training metrics	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.mutate	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAMutateProc.java:64	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<SpeakerListenerLPAMutateResult>	gds_public_surface	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Deprecated alias	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.mutate.estimate	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAMutateProc.java:76	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.stats	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAStatsProc.java:64	facade.deprecatedProcedures	Map<String,Object> configuration	Stream<SpeakerListenerLPAStatsResult>	gds_public_surface	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.alpha.sllpa.stats.estimate	READ	proc/community/src/main/java/org/neo4j/gds/sllpa/SpeakerListenerLPAStatsProc.java:76	facade.deprecatedProcedures	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	gds_public_surface	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Deprecated alias		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
