inventory_row_id	procedure_name	surface_kind	family	mode	is_estimate	source_file	source_line	config_type	result_type	estimate_path	support_status	unsupported_error_code	unsupported_message_shape	result_schema_behavior	first_canary_or_test	evidence_confidence	notes
11	gds.beta.model.exists	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelExistsProc.java	46	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-011	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
12	gds.beta.model.list	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelListProc.java	47	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-012	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
13	gds.graph.deleteRelationships	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropRelationshipProc.java	50	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-013	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
14	gds.graph.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropProc.java	45	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-014	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
15	gds.graph.exists	user_function	catalog	NeedsSource	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphExistsFunc.java	38	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-015	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
16	gds.graph.exists	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphExistsProc.java	42	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-016	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
17	gds.graph.export	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	44	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-017	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
18	gds.graph.export.csv	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	67	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-018	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
19	gds.graph.export.csv.estimate	procedure	catalog	READ	yes	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	90	NeedsSource	NeedsSource	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:90	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-019	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
20	gds.graph.filter	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphFilterProc.java	41	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-020	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
21	gds.graph.generate	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/beta/generator/GraphGenerateProc.java	59	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-021	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
22	gds.graph.graphProperty.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropGraphPropertiesProc.java	56	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-022	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
23	gds.graph.graphProperty.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamGraphPropertiesProc.java	61	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-023	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
24	gds.graph.list	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphListProc.java	47	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-024	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
25	gds.graph.nodeLabel.mutate	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMutateNodeLabelProc.java	39	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-025	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
26	gds.graph.nodeLabel.write	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodeLabelProc.java	40	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-026	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
27	gds.graph.nodeProperties.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropNodePropertiesProc.java	42	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-027	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
28	gds.graph.nodeProperties.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	43	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-028	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
29	gds.graph.nodeProperties.write	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodePropertiesProc.java	41	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-029	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
30	gds.graph.nodeProperty.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	86	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-030	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
31	gds.graph.project	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	52	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-031	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
32	gds.graph.project.cypher	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	78	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-032	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
33	gds.graph.project.cypher.estimate	procedure	catalog	READ	yes	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	94	NeedsSource	NeedsSource	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java:94	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-033	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
34	gds.graph.project.estimate	procedure	catalog	READ	yes	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	68	NeedsSource	NeedsSource	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java:68	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-034	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
35	gds.graph.relationship.write	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteRelationshipProc.java	42	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-035	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
36	gds.graph.relationshipProperties.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	44	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-036	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
37	gds.graph.relationshipProperties.write	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteRelationshipPropertiesProc.java	41	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-037	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
38	gds.graph.relationshipProperty.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	83	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-038	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
39	gds.graph.relationships.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropRelationshipProc.java	40	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-039	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
40	gds.graph.relationships.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipsProc.java	41	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-040	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
41	gds.graph.removeNodeProperties	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropNodePropertiesProc.java	53	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-041	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
42	gds.graph.sample.cnarw	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	71	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-042	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
43	gds.graph.sample.cnarw.estimate	procedure	catalog	READ	yes	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	82	NeedsSource	NeedsSource	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java:82	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-043	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
44	gds.graph.sample.rwr	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	44	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-044	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
45	gds.graph.streamNodeProperties	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	60	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-045	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
46	gds.graph.streamNodeProperty	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	102	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-046	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
47	gds.graph.streamRelationshipProperties	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	59	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-047	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
48	gds.graph.streamRelationshipProperty	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	100	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-048	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
49	gds.graph.writeNodeProperties	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodePropertiesProc.java	52	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-049	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
50	gds.graph.writeRelationship	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteRelationshipProc.java	53	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-050	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
51	gds.internal.graph.sizeOf	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMemoryUsageProc.java	38	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-051	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
52	gds.model.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelDropProc.java	40	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-052	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
53	gds.model.exists	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelExistsProc.java	40	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-053	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
54	gds.model.list	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelListProc.java	41	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-054	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
55	gds.alpha.closeness.harmonic.stream	procedure	centrality	READ	no	gitrefrepo/neo4j-gds-src/proc/centrality/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityStreamProc.java	53	NeedsSource	NeedsSource	NotApplicable	UnsupportedButRegistered	Neo.ClientError.Procedure.ProcedureCallFailed	Procedure is recognized by the v003 registry but is not yet supported in this build; include procedure name and support status.	Call fails before row streaming; no partial result rows are emitted.	TEST-GDS-055	DirectSource	Public row should remain registered with deterministic unsupported behavior until specific procedure evidence and implementation are ready.
56	gds.alpha.closeness.harmonic.write	procedure	centrality	WRITE	no	gitrefrepo/neo4j-gds-src/proc/centrality/src/main/java/org/neo4j/gds/harmonic/HarmonicCentralityWriteProc.java	53	NeedsSource	NeedsSource	NotApplicable	UnsupportedButRegistered	Neo.ClientError.Procedure.ProcedureCallFailed	Procedure is recognized by the v003 registry but is not yet supported in this build; include procedure name and support status.	Call fails before row streaming; no partial result rows are emitted.	TEST-GDS-056	DirectSource	Public row should remain registered with deterministic unsupported behavior until specific procedure evidence and implementation are ready.
57	gds.alpha.hits.mutate	procedure	centrality	READ	no	gitrefrepo/neo4j-gds-src/proc/centrality/src/main/java/org/neo4j/gds/hits/HitsMutateProc.java	64	NeedsSource	NeedsSource	NotApplicable	UnsupportedButRegistered	Neo.ClientError.Procedure.ProcedureCallFailed	Procedure is recognized by the v003 registry but is not yet supported in this build; include procedure name and support status.	Call fails before row streaming; no partial result rows are emitted.	TEST-GDS-057	DirectSource	Public row should remain registered with deterministic unsupported behavior until specific procedure evidence and implementation are ready.
58	gds.alpha.hits.mutate.estimate	procedure	centrality	M	yes	gitrefrepo/neo4j-gds-src/proc/centrality/src/main/java/org/neo4j/gds/hits/HitsMutateProc.java	76	NeedsSource	NeedsSource	gitrefrepo/neo4j-gds-src/proc/centrality/src/main/java/org/neo4j/gds/hits/HitsMutateProc.java:76	UnsupportedButRegistered	Neo.ClientError.Procedure.ProcedureCallFailed	Procedure is recognized by the v003 registry but is not yet supported in this build; include procedure name and support status.	Call fails before row streaming; no partial result rows are emitted.	TEST-GDS-058	DirectSource	Public row should remain registered with deterministic unsupported behavior until specific procedure evidence and implementation are ready.
59	gds.articleRank.mutate	procedure	centrality	READ	no	gitrefrepo/neo4j-gds-src/proc/centrality/src/main/java/org/neo4j/gds/pagerank/ArticleRankMutateProc.java	41	NeedsSource	NeedsSource	NotApplicable	UnsupportedButRegistered	Neo.ClientError.Procedure.ProcedureCallFailed	Procedure is recognized by the v003 registry but is not yet supported in this build; include procedure name and support status.	Call fails before row streaming; no partial result rows are emitted.	TEST-GDS-059	DirectSource	Public row should remain registered with deterministic unsupported behavior until specific procedure evidence and implementation are ready.
