lane	path	sha256	bytes	line_count	assigned_agent	source_id
lane-08	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	abd41172f9bf0baa5a466590c97126866a0aa92099499ad36d16e421cd48b4dc	7698	155	agent-08	GLF-0036
lane-07	docs_PRD06/graph-learning/graph-db-pattern-synthesis-ascii.md	7950b70ead94bd515a34465a74393dfb8a6c57a87b09dac1a72cb18b5ee69e6a	7614	163	agent-07	GLF-0037
lane-07	docs_PRD06/graph-learning/graph-db-pattern-synthesis-mermaid.md	5d9b1f4e1701ed887a605bbc4658780fe90875df020077eea1fec7ac0a733859	8332	153	agent-07	GLF-0038
lane-08	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	0e495b294826a576dc63ccdb85e593b6d1db5bbaf645ad3c85c5356be62f3f9d	7661	174	agent-08	GLF-0039
lane-09	docs_PRD06/graph-learning/hnsw-layered-greedy-mermaid.md	c2bad02935ee18d6f05e8c513441cb5e54d192d426b004e6e45f661f5fc92592	7566	152	agent-09	GLF-0040
lane-08	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	1c986c77806fd56ae1b2927f20b4d0acd8824cf1a827c475f5e9f41f4024e2c6	7100	153	agent-08	GLF-0041
lane-09	docs_PRD06/graph-learning/incremental-delta-iteration-mermaid.md	fc420f30d646614d0fefb06e9144d9fcf8a88673849d7fb5942c7791358641c7	8216	153	agent-09	GLF-0042
lane-07	docs_PRD06/graph-learning/ivf-partitioned-probe-ascii.md	c5c9ecc0522915a688819e513610f2b302fa7665317336bbb6baabbfd6b071b2	6893	157	agent-07	GLF-0043
lane-07	docs_PRD06/graph-learning/ivf-partitioned-probe-mermaid.md	641219922654877e7ecf7d334993ad52820d7b7df2d2a918ce0ba866c1460df6	7921	155	agent-07	GLF-0044
lane-09	docs_PRD06/graph-learning/lsm-compaction-tradeoff-ascii.md	6ed5fdb8800d1a2fd180851f6b43fcd22a95bdc09cd46d33303348229d0cb2c9	8343	184	agent-09	GLF-0045
lane-09	docs_PRD06/graph-learning/lsm-compaction-tradeoff-mermaid.md	5c0943336d9eb41bd50d0753d7bd693312e1531d9e829d9a967845d1b3fe8de6	6963	174	agent-09	GLF-0046
lane-08	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	d1168ec0b532fb65257fad3385ce2a79c8446815b67e8d8bd05a6debba9ab512	7102	160	agent-08	GLF-0047
lane-07	docs_PRD06/graph-learning/metamorphic-oracle-testing-mermaid.md	f18b8e56248daeb9503055443fa3af2a2d5166ab13e8cedf92c7643368428ad9	7711	150	agent-07	GLF-0048
lane-08	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	4947ecfb2eab566d3d57210aa08bf6a22141ce7d1202e428b0f49ea51f5cb057	7597	163	agent-08	GLF-0049
lane-07	docs_PRD06/graph-learning/mvcc-snapshot-visibility-mermaid.md	343f6d5ab05bd911676fd8e7db50e90ce2ad22679abb0bb31a366d01e701ecf4	6518	159	agent-07	GLF-0050
lane-09	docs_PRD06/graph-learning/neo4j-ecosystem-pattern-synthesis-ascii.md	24ba8407b63ddb58f88c98827dd6c44ba3ab748b80df86af354b29bd0d34eca7	7622	169	agent-09	GLF-0051
lane-07	docs_PRD06/graph-learning/neo4j-ecosystem-pattern-synthesis-mermaid.md	7694db2f8065425cc5a2f4b077a5919a97842880680e4f2d44685e0bc1f0c6fb	8406	152	agent-07	GLF-0052
lane-07	docs_PRD06/graph-learning/packstream-wire-encoding-ascii.md	9054f4f213e9d53aa180821d389ff94f58fe475f19590b9b41764ba6b651b107	6540	151	agent-07	GLF-0053
lane-08	docs_PRD06/graph-learning/packstream-wire-encoding-mermaid.md	1ca69cc7ab84d75cf77982bcadaecf5171e31d1d6488e6c97e0a008000c4fc05	7141	151	agent-08	GLF-0054
lane-09	docs_PRD06/graph-learning/pagerank-iteration-convergence-ascii.md	7dd44be9862043bc592d98e7af7ea0985a0938cb4486b1748b6a95a12a37d758	7468	163	agent-09	GLF-0055
lane-08	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	f35f053536d92030ddab0f36130e8f417d1d44cb54321f6bc84bf78768fa7e27	7745	150	agent-08	GLF-0056
lane-08	docs_PRD06/graph-learning/pattern-index.md	1b3c10dd7d335647906da480a8288e386412bc75eb9d2153a215b66b02ee5a71	5738	49	agent-08	GLF-0057
lane-08	docs_PRD06/graph-learning/pmf-analysis-apache-ecosystem-lens.md	7d85a4a90b9f0d32c4b66c2793830bbe7a6ff875d2997d1416d83690bc17c555	12531	226	agent-08	GLF-0058
lane-09	docs_PRD06/graph-learning/pmf-analysis-shreyas-doshi-lens.md	66eb5e8f60ca473f02bbfea1d3a0b760de3e14d893b78e11d1c584ec584c47fa	13216	238	agent-09	GLF-0059
lane-08	docs_PRD06/graph-learning/posting-block-compression-ascii.md	f838ddc34392cbeb811f32b63d44b63727c05b7849a62072c39d9c259cc444e3	6766	159	agent-08	GLF-0060
lane-08	docs_PRD06/graph-learning/posting-block-compression-mermaid.md	e16a26088b94be5511f20b5e082b04b08f2ab2b26aca6e30eb0632447d5cd195	7917	152	agent-08	GLF-0061
lane-09	docs_PRD06/graph-learning/product-quantization-ladder-ascii.md	2e1cff83f5695b64505c1dc04d9a7872f224b0cb05bbaf591b8b15d5fb6aea8f	6504	152	agent-09	GLF-0062
lane-07	docs_PRD06/graph-learning/product-quantization-ladder-mermaid.md	b3810808fc4ba89c2724499a89c6e77f94063b41be62c9dbea93684f2ff93cc5	7721	152	agent-07	GLF-0063
lane-07	docs_PRD06/graph-learning/proprietary-tools-landscape.md	0abc89d73da0c2d3b993c310cc49498452e9f7427db37be0084e98143493d74f	6866	77	agent-07	GLF-0064
lane-07	docs_PRD06/graph-learning/pull-operator-pipeline-ascii.md	1b5b52e53a5da417877d1c5b3634afdfa41b7d49e747ff1b518de8f12c8c56f8	7046	163	agent-07	GLF-0065
lane-09	docs_PRD06/graph-learning/pull-operator-pipeline-mermaid.md	336899e68576e5d0fde4b6a6805efd761b28db54ac7da8622e23fc38e8740d7c	7366	151	agent-09	GLF-0066
lane-07	docs_PRD06/graph-learning/record-chain-adjacency-ascii.md	caac0b3bed1bdb18a55dec33f0e8fd5b52817842e32823f7e48dcb372d1a8bf0	7909	170	agent-07	GLF-0067
lane-08	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	8f031145fa5f6464a65865369e632509dddd05130d39ab858fbd651602e79982	8354	152	agent-08	GLF-0068
lane-09	docs_PRD06/graph-learning/research-papers-ledger.md	822b3124eb8036a9a0247ffef270e5c0eb9b966c14274887116beb9456234416	8198	95	agent-09	GLF-0069
lane-08	docs_PRD06/graph-learning/roaring-bitmap-idsets-ascii.md	59c7aa866af4664ae07a1fd0c5599072116f01f2252e7f6cbd707c2229519086	6930	158	agent-08	GLF-0070
lane-08	docs_PRD06/graph-learning/roaring-bitmap-idsets-mermaid.md	9dcca37aff571e23c45cb41303d17f1f3ac72d706f65d26d0888b36974db99b0	6729	155	agent-08	GLF-0071
lane-09	docs_PRD06/graph-learning/semiring-matrix-traversal-ascii.md	d3946c2fa25fabb548435a08585b90b13d92d68970843ee806aea23cb5fb3756	7997	176	agent-09	GLF-0072
lane-09	docs_PRD06/graph-learning/semiring-matrix-traversal-mermaid.md	ef1fb3e2088ccb7445bca0a16911f33fb14bf20b8125368248213636612f48e1	7986	152	agent-09	GLF-0073
lane-07	docs_PRD06/graph-learning/storage-engine-pattern-synthesis-ascii.md	b6d42dd53b22a536d28380d5dd5fb0abaaea0dc9856302c578aab36874fc11ea	8190	178	agent-07	GLF-0074
lane-09	docs_PRD06/graph-learning/storage-engine-pattern-synthesis-mermaid.md	880126ed01e3e71546211ad6a396a5fe05cf9851cd750ab3d84137c738885ce8	7878	150	agent-09	GLF-0075
lane-07	docs_PRD06/graph-learning/stub-script-conformance-ascii.md	f77f2940499329fa14481dcd3d7cf31ceba3094d0fc38d5f6cc8423afa11d4a2	6943	151	agent-07	GLF-0076
lane-08	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	c88b5ef08a211be9922bdcab972170969bc1f296d7a4338593d6ff66f22f31a1	7288	151	agent-08	GLF-0077
lane-08	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	09d6a164b34656d987a7196a7f10419e5f85c02e0d60435b1e5d92aaa4508812	7404	163	agent-08	GLF-0078
lane-07	docs_PRD06/graph-learning/superstep-message-convergence-mermaid.md	dd22a3ac944e8d85c4a16cf06bbb448c500f0d41a1491c181f6ff15405fc515a	7683	154	agent-07	GLF-0079
lane-07	docs_PRD06/graph-learning/tolerant-equivalence-validation-ascii.md	d190330ae5b9b7fb2eb2f9767841bf7dcf328b14a2afd4a42991ceb84a2dd341	7905	169	agent-07	GLF-0080
lane-09	docs_PRD06/graph-learning/tolerant-equivalence-validation-mermaid.md	617784da838e1f321284ea59a047cc819eeea70673ebe0531903f6fc2a7683a4	8306	154	agent-09	GLF-0081
lane-09	docs_PRD06/graph-learning/triple-permutation-indexing-ascii.md	66979b02b8b71637fe5f31cc0828bd342c9b7fff2380562c01ffe6d38707293a	6417	151	agent-09	GLF-0082
lane-07	docs_PRD06/graph-learning/triple-permutation-indexing-mermaid.md	64f6fb31b47363c364560623a7f71af13a7dc2fd8bc6a13f2e4c450770576120	7579	152	agent-07	GLF-0083
lane-07	docs_PRD06/graph-learning/vector-ann-pattern-synthesis-ascii.md	83813dd9df5b7539e66f2de99ad2b03d2a1efef50d24ee364df7c273f0fb7f84	7080	151	agent-07	GLF-0084
lane-07	docs_PRD06/graph-learning/vector-ann-pattern-synthesis-mermaid.md	4e068a244ca6dd5b2662a0cd781dd0192f69b0a37c7645d090545bd912c9a509	7781	153	agent-07	GLF-0085
lane-07	docs_PRD06/graph-learning/verify-corpus-spec.sh	5d485109dac0b4be0b0d088120a7714baf246ccdf248c4452a5b4c7e28e52038	4227	96	agent-07	GLF-0086
lane-09	docs_PRD06/graph-learning/wal-group-commit-ascii.md	fef546d91ae5710b3c6b61629dedf97f5534a852421d6d1b35883d3e699d454e	7234	159	agent-09	GLF-0087
lane-07	docs_PRD06/graph-learning/wal-group-commit-mermaid.md	dd8be453c0315b0afc59c1533f7e5068fad599918abc4be0cf4bbd1a0f53db25	5796	150	agent-07	GLF-0088
