algorithm_id	canonical_name	category	aliases	occurrence_ids	architecture_option_ids
ALG-015	CSR build and adjacency layout	Graph storage	CSC, CSR, csr	A07-O0002,A07-O0195,A07-O0197,A07-O0203,A07-O0205,A07-O0206,A07-O0207,A07-O0209,A07-O0210,A07-O0221,A07-O0297,A07-O0330,A07-O0336,A07-O0338,A07-O0339,A07-O0342,A07-O0348,A07-O0349,A07-O0355,A07-O0360,A07-O0365,A07-O0368,A07-O0369,A07-O0372,A07-O0378,A07-O0379,A07-O0387,A07-O0391,A07-O0432,A07-O0578,A07-O0637,A07-O0638,A07-O0639,A07-O0640,A07-O0643,A07-O0644,A07-O0645,A07-O0647,A07-O0648,A07-O0651,A07-O0652,A07-O0654,A07-O0657,A07-O0658,A07-O0660,A07-O0705,A07-O0712,A07-O0723,A08-O0010,A08-O0037,A08-O0070,A08-O0101,A08-O0216,A08-O0237,A08-O0255,A08-O0275,A08-O0293,A08-O0296,A08-O0309,A08-O0313,A08-O0357,A08-O0358,A08-O0359,A08-O0361,A08-O0364,A08-O0366,A08-O0367,A08-O0368,A08-O0369,A08-O0371,A08-O0372,A08-O0374,A08-O0375,A08-O0377,A08-O0378,A08-O0379,A08-O0381,A08-O0384,A08-O0385,A08-O0389,A08-O0390,A08-O0391,A08-O0394,A08-O0396,A08-O0397,A08-O0398,A08-O0404,A08-O0406,A08-O0408,A08-O0409,A08-O0410,A08-O0412,A08-O0413,A08-O0414,A08-O0416,A08-O0417,A08-O0418,A08-O0419,A08-O0421,A08-O0423,A08-O0426,A08-O0428,A08-O0429,A08-O0431,A08-O0434,A08-O0436,A08-O0438,A08-O0440,A08-O0442,A08-O0443,A08-O0444,A08-O0449,A08-O0450,A08-O0452,A08-O0453,A08-O0458,A08-O0460,A08-O0462,A08-O0571,A08-O0610,A08-O0617,A08-O0618,A08-O0619,A08-O0621,A08-O0630,A08-O0632,A08-O0636,A08-O0640,A08-O0669,A08-O0700,A08-O0701,A08-O0705,A08-O0725,A08-O0732,A08-O0743,A08-O0744,A08-O0749,A08-O0755,A08-O0773,A08-O0866,A08-O0882,A08-O0891,A08-O0902,A08-O0911,A08-O0928,A08-O0971,A08-O0992,A08-O1006,A08-O1024,A08-O1048,A08-O1049,A08-O1050,A08-O1053,A08-O1054,A08-O1056,A08-O1057,A08-O1060,A08-O1061,A08-O1062,A08-O1065,A08-O1067,A08-O1072,A08-O1104,A08-O1115,A08-O1143,A08-O1157,A09-O0003,A09-O0046,A09-O0061,A09-O0080,A09-O0081,A09-O0097,A09-O0285,A09-O0296,A09-O0310,A09-O0323,A09-O0334,A09-O0337,A09-O0349,A09-O0352,A09-O0451,A09-O0482,A09-O0496,A09-O0578,A09-O0581,A09-O0607,A09-O0612,A09-O0616,A09-O0626,A09-O0628,A09-O0629,A09-O0645,A09-O0651,A09-O0815,A09-O0823,A09-O0824,A09-O0833,A09-O0843,A09-O0853,A09-O0959,A09-O0961,A09-O0995,A09-O1043,A09-O1104,A09-O1110,A09-O1123	ALG-015-A1,ALG-015-A2,ALG-015-A3
ALG-016	Degree centrality	Centrality	degree	A07-O0627,A07-O0642,A07-O0646,A07-O0768,A08-O0360,A08-O0411,A08-O0542,A08-O0573,A08-O1052,A08-O1055,A08-O1206,A09-O0519,A09-O0606,A09-O0901	ALG-016-A1,ALG-016-A2,ALG-016-A3
ALG-017	Delta and RLE compression	Storage	Delta compression, byteRLE, delta compression	A08-O0362,A08-O0363,A08-O0365,A08-O0376,A08-O0395,A08-O0415,A08-O0422,A08-O0451,A08-O1040,A09-O0570	ALG-017-A1,ALG-017-A2,ALG-017-A3
ALG-018	Delta-stepping SSSP	Traversal	Delta Stepping, Delta-Stepping, Delta-stepping, delta bucket, delta-stepping	A07-O0167,A07-O0168,A07-O0173,A07-O0177,A07-O0183,A07-O0185,A07-O0189,A07-O0190,A07-O0192,A07-O0219,A07-O0223,A08-O0007,A08-O0238,A08-O0489,A08-O0490,A08-O0496,A08-O0507,A08-O0511,A08-O0514,A08-O0516,A08-O0522,A08-O0550,A08-O0613,A08-O0645,A08-O0711,A08-O0717,A08-O0723,A08-O0774,A08-O0913,A08-O0933,A09-O0593,A09-O0599,A09-O0644,A09-O0650	ALG-018-A1,ALG-018-A2,ALG-018-A3
ALG-019	DFS depth traversal	Traversal	DFS	A07-O0316,A08-O0545	ALG-019-A1,ALG-019-A2,ALG-019-A3
ALG-020	Dijkstra weighted shortest path	Traversal	Dijkstra	A07-O0170,A07-O0171,A07-O0182,A08-O0492,A08-O0494,A08-O0498,A08-O0503,A08-O0510,A08-O0546,A09-O0074,A09-O0594	ALG-020-A1,ALG-020-A2,ALG-020-A3
ALG-021	Eigenvector, Katz, HITS, ArticleRank	Centrality	ArticleRank, HITS, Katz, eigenvector, hits	A07-O0824,A08-O0337,A08-O0543,A08-O0549,A08-O0884,A08-O0900,A09-O0391,A09-O0812,A09-O0813,A09-O1160,A09-O1176	ALG-021-A1,ALG-021-A2,ALG-021-A3
ALG-022	FastRP random projection embeddings	Embeddings	FastRP	A08-O0555,A09-O0015,A09-O0028,A09-O0041,A09-O0062,A09-O0924	ALG-022-A1,ALG-022-A2,ALG-022-A3
ALG-023	FastSV star contraction	Components	FastSV, large-star	A08-O0206,A08-O0212,A08-O0222,A08-O0223,A08-O0229,A08-O0233,A08-O0235,A08-O0244,A08-O0713,A09-O0250,A09-O0271,A09-O0281,A09-O0290,A09-O0294,A09-O0978,A09-O0999,A09-O1026,A09-O1048,A09-O1053	ALG-023-A1,ALG-023-A2,ALG-023-A3
ALG-024	Frontier push/pull switching	Traversal	Direction-optim, direction-optim, push-pull, push/pull	A07-O0004,A07-O0202,A07-O0213,A07-O0629,A08-O0012,A08-O0259,A08-O0405,A08-O0445,A08-O0448,A08-O0459,A08-O0564,A08-O0626,A08-O0629,A08-O0639,A08-O0647,A08-O0702,A08-O0706,A08-O0794,A08-O0802,A08-O0929,A09-O0014,A09-O0579,A09-O0667,A09-O0673,A09-O0904,A09-O0909,A09-O0915,A09-O0973,A09-O0983,A09-O0994,A09-O1024,A09-O1037,A09-O1042	ALG-024-A1,ALG-024-A2,ALG-024-A3
ALG-025	FST term dictionary	Text storage	FST, Term dictionary, finite-state transducer, fst, term DICTIONARY, term dictionary	A07-O0226,A07-O0227,A07-O0228,A07-O0233,A07-O0234,A07-O0235,A07-O0236,A07-O0237,A07-O0239,A07-O0240,A07-O0242,A07-O0243,A07-O0245,A07-O0246,A07-O0247,A07-O0251,A07-O0254,A07-O0255,A07-O0256,A07-O0258,A07-O0260,A07-O0261,A07-O0266,A07-O0270,A07-O0271,A07-O0272,A07-O0274,A07-O0276,A07-O0284,A07-O0287,A07-O0289,A07-O0292,A07-O0306,A07-O0309,A07-O0313,A07-O0320,A07-O0324,A07-O0328,A07-O0583,A07-O0830,A07-O0840,A08-O0019,A08-O0168,A08-O0295,A08-O0323,A08-O0590,A08-O0593,A08-O0649,A08-O0653,A08-O0658,A08-O0661,A08-O0663,A08-O0675,A08-O0677,A08-O0681,A08-O0682,A08-O0683,A08-O0691,A08-O0695,A08-O0699,A08-O0875,A08-O0942,A08-O0955,A08-O1043,A08-O1188,A09-O0176,A09-O0362,A09-O0535,A09-O0536,A09-O0537,A09-O0539,A09-O0541,A09-O0542,A09-O0543,A09-O0544,A09-O0546,A09-O0547,A09-O0549,A09-O0550,A09-O0552,A09-O0553,A09-O0555,A09-O0556,A09-O0558,A09-O0559,A09-O0561,A09-O0563,A09-O0564,A09-O0565,A09-O0568,A09-O0571,A09-O0572,A09-O0573,A09-O0577,A09-O0941,A09-O1169,A09-O1170,A09-O1178,A09-O1181	ALG-025-A1,ALG-025-A2,ALG-025-A3
ALG-026	Graph embedding family	Embeddings	Embeddings, embedding, embeddings	A07-O0592,A07-O0607,A08-O0317,A08-O0556,A08-O0585,A08-O0964,A09-O0016,A09-O0029,A09-O0063,A09-O0090,A09-O0095,A09-O0356,A09-O0847,A09-O0875,A09-O0920,A09-O0922,A09-O0925	ALG-026-A1,ALG-026-A2,ALG-026-A3
ALG-027	Graph partitioning and cuts	Out-of-core	2D partition, Graph Partition, METIS, Vertex-cut, edge-cut, vertex-cut	A07-O0150,A07-O0351,A07-O0381,A07-O0764,A07-O0767,A07-O0769,A07-O0782,A07-O0785,A07-O0789,A07-O0790,A08-O0291,A08-O0472,A08-O0479,A08-O0485,A08-O0531,A08-O0569,A08-O0574,A08-O0738,A08-O1200,A08-O1204,A08-O1205,A08-O1221,A08-O1225,A09-O0335,A09-O0417,A09-O0423,A09-O0435,A09-O0619,A09-O0913	ALG-027-A1,ALG-027-A2,ALG-027-A3
ALG-028	GraphSAGE neighbor sampling	Embeddings	GraphSAGE	A08-O0559,A09-O0926	ALG-028-A1,ALG-028-A2,ALG-028-A3
ALG-029	HashGNN and GNN message passing	Embeddings	GNN, HashGNN, message passing	A08-O0316,A08-O0560,A08-O0634,A08-O0742,A08-O0885,A08-O0895,A08-O0901,A09-O0355,A09-O0379,A09-O0625,A09-O0814,A09-O0831	ALG-029-A1,ALG-029-A2,ALG-029-A3
ALG-030	HNSW layered greedy ANN	Vector ANN	HNSW, hnsw	A07-O0001,A07-O0101,A07-O0125,A07-O0139,A07-O0157,A07-O0159,A07-O0160,A07-O0252,A07-O0267,A07-O0403,A07-O0419,A07-O0423,A07-O0430,A07-O0446,A07-O0454,A07-O0456,A07-O0466,A07-O0593,A07-O0598,A07-O0604,A07-O0615,A07-O0619,A07-O0820,A07-O0842,A07-O0846,A07-O0853,A07-O0861,A07-O0862,A07-O0866,A07-O0867,A07-O0873,A07-O0874,A07-O0875,A07-O0881,A07-O0887,A07-O0891,A07-O0900,A07-O0901,A07-O0905,A07-O0913,A07-O0919,A07-O0922,A07-O0923,A07-O0924,A07-O0930,A08-O0013,A08-O0253,A08-O0263,A08-O0285,A08-O0302,A08-O0306,A08-O0325,A08-O0577,A08-O0733,A08-O0751,A08-O0752,A08-O0753,A08-O0760,A08-O0763,A08-O0764,A08-O0765,A08-O0766,A08-O0767,A08-O0770,A08-O0772,A08-O0780,A08-O0934,A09-O0064,A09-O0204,A09-O0327,A09-O0340,A09-O0344,A09-O0364,A09-O0371,A09-O0378,A09-O0444,A09-O0452,A09-O0454,A09-O0458,A09-O0459,A09-O0464,A09-O0469,A09-O0479,A09-O0481,A09-O0497,A09-O0499,A09-O0501,A09-O0508,A09-O0514,A09-O0520,A09-O0521,A09-O0615,A09-O0631,A09-O0632,A09-O0637,A09-O0638,A09-O0641,A09-O0642,A09-O0643,A09-O0647,A09-O0648,A09-O0654,A09-O0656,A09-O0849,A09-O0852,A09-O0876,A09-O0882,A09-O0889,A09-O0894,A09-O0907,A09-O0927	ALG-030-A1,ALG-030-A2,ALG-030-A3
ALG-031	Hooking and shortcutting	Components	HOOK, Hooking, SHORTCUT, Shortcut, hook, hooking, pointer jump, shortcut	A07-O0013,A07-O0184,A07-O0187,A07-O0264,A07-O0614,A07-O0775,A07-O0783,A07-O0822,A08-O0008,A08-O0118,A08-O0141,A08-O0143,A08-O0166,A08-O0184,A08-O0185,A08-O0188,A08-O0189,A08-O0190,A08-O0192,A08-O0193,A08-O0194,A08-O0195,A08-O0196,A08-O0198,A08-O0199,A08-O0203,A08-O0204,A08-O0205,A08-O0215,A08-O0221,A08-O0226,A08-O0227,A08-O0231,A08-O0234,A08-O0241,A08-O0247,A08-O0481,A08-O0520,A08-O0709,A08-O0719,A08-O0722,A08-O0747,A08-O0925,A08-O0931,A08-O1214,A08-O1223,A09-O0002,A09-O0121,A09-O0142,A09-O0144,A09-O0234,A09-O0235,A09-O0238,A09-O0241,A09-O0242,A09-O0243,A09-O0245,A09-O0246,A09-O0247,A09-O0248,A09-O0249,A09-O0252,A09-O0254,A09-O0255,A09-O0256,A09-O0257,A09-O0260,A09-O0264,A09-O0268,A09-O0269,A09-O0270,A09-O0272,A09-O0280,A09-O0287,A09-O0289,A09-O0293,A09-O0302,A09-O0424,A09-O0522,A09-O0523,A09-O0587,A09-O0589,A09-O0590,A09-O0601,A09-O0604,A09-O0732,A09-O0777,A09-O0890,A09-O0998,A09-O1047,A09-O1156	ALG-031-A1,ALG-031-A2,ALG-031-A3
ALG-032	Immutable base plus delta rebuild	Graph storage	delta log, immutable CSR	A08-O0217,A08-O0382,A08-O0392,A08-O0427,A08-O0437,A08-O0456,A08-O0637,A09-O0286,A09-O0834	ALG-032-A1,ALG-032-A2,ALG-032-A3
ALG-033	Incremental delta iteration	Incremental	Differential dataflow, Incremental Delta, Incremental delta, Semi-naive, differential dataflow, differential frontiers, semi-naive, signed delta	A07-O0141,A08-O0026,A08-O0262,A08-O0287,A08-O0328,A08-O0483,A08-O0781,A08-O0782,A08-O0784,A08-O0786,A08-O0801,A08-O0917,A08-O0949,A09-O0330,A09-O0367,A09-O0433,A09-O0657,A09-O0658,A09-O0661,A09-O0672,A09-O0859	ALG-033-A1,ALG-033-A2,ALG-033-A3
ALG-034	IVF partitioned probe	Vector ANN	IVF, NPROBE, ivf, nprobe	A07-O0126,A07-O0129,A07-O0299,A07-O0395,A07-O0396,A07-O0397,A07-O0398,A07-O0399,A07-O0400,A07-O0401,A07-O0402,A07-O0404,A07-O0406,A07-O0409,A07-O0411,A07-O0412,A07-O0413,A07-O0414,A07-O0415,A07-O0416,A07-O0417,A07-O0420,A07-O0421,A07-O0424,A07-O0426,A07-O0427,A07-O0428,A07-O0434,A07-O0435,A07-O0436,A07-O0438,A07-O0439,A07-O0440,A07-O0441,A07-O0442,A07-O0443,A07-O0444,A07-O0445,A07-O0447,A07-O0450,A07-O0451,A07-O0452,A07-O0453,A07-O0457,A07-O0459,A07-O0460,A07-O0461,A07-O0463,A07-O0465,A07-O0468,A07-O0469,A07-O0470,A07-O0472,A07-O0473,A07-O0475,A07-O0476,A07-O0477,A07-O0478,A07-O0482,A07-O0483,A07-O0594,A07-O0620,A07-O0844,A07-O0849,A07-O0850,A07-O0851,A07-O0852,A07-O0855,A07-O0859,A07-O0863,A07-O0868,A07-O0876,A07-O0883,A07-O0884,A07-O0889,A07-O0894,A07-O0895,A07-O0898,A07-O0902,A07-O0906,A07-O0909,A07-O0916,A07-O0918,A07-O0920,A07-O0925,A07-O0932,A07-O0933,A08-O0015,A08-O0264,A08-O0267,A08-O0276,A08-O0290,A08-O0326,A08-O0578,A08-O0670,A08-O0761,A08-O0768,A08-O0937,A08-O0995,A08-O1020,A08-O1027,A09-O0223,A09-O0314,A09-O0320,A09-O0365,A09-O0486,A09-O0530,A09-O0639,A09-O0850,A09-O0877,A09-O0895,A09-O0930	ALG-034-A1,ALG-034-A2,ALG-034-A3
ALG-035	Jaccard, overlap, and cosine similarity	Similarity	Jaccard, cosine, overlap	A07-O0134,A07-O0193,A07-O0225,A07-O0273,A07-O0437,A07-O0481,A07-O0536,A07-O0622,A07-O0659,A07-O0946,A07-O0961,A08-O0060,A08-O0182,A08-O0246,A08-O0356,A08-O0407,A08-O0461,A08-O0523,A08-O0552,A08-O0587,A08-O0646,A08-O0779,A08-O0859,A08-O0919,A08-O0985,A08-O1000,A08-O1042,A08-O1071,A08-O1116,A08-O1158,A09-O0010,A09-O0025,A09-O0057,A09-O0060,A09-O0191,A09-O0231,A09-O0301,A09-O0406,A09-O0488,A09-O0533,A09-O0576,A09-O0655,A09-O0687,A09-O0709,A09-O0729,A09-O0749,A09-O0763,A09-O0846,A09-O0898,A09-O1001,A09-O1055,A09-O1195,A09-O1211	ALG-035-A1,ALG-035-A2,ALG-035-A3
ALG-036	k-core peeling	Density	k-core	A07-O0019,A07-O0022,A07-O0044,A07-O0082,A07-O0180,A08-O0054,A08-O0501,A08-O0513,A08-O0561,A08-O0741,A09-O0018,A09-O0036,A09-O0076,A09-O0623,A09-O0624	ALG-036-A1,ALG-036-A2,ALG-036-A3
ALG-037	KD-tree search	Vector ANN	KD-tree	A08-O0583	ALG-037-A1,ALG-037-A2,ALG-037-A3
ALG-038	k-nearest-neighbor search	Similarity	KNN, k nearest, kNN	A08-O0554,A08-O0754,A08-O0756,A08-O0757,A09-O0011,A09-O0023,A09-O0027,A09-O0051,A09-O0053,A09-O0633,A09-O0634	ALG-038-A1,ALG-038-A2,ALG-038-A3
ALG-039	Label propagation	Components	LabelPropagation, label propagation	A08-O0209,A08-O0534,A08-O0883,A08-O0897,A08-O1210,A09-O0275,A09-O0292,A09-O0596,A09-O0810	ALG-039-A1,ALG-039-A2,ALG-039-A3
ALG-040	Leiden refinement	Community	Leiden	A07-O0012,A08-O0537,A08-O0740,A09-O0005,A09-O0083,A09-O0086,A09-O0621,A09-O0918	ALG-040-A1,ALG-040-A2,ALG-040-A3
ALG-041	Levenshtein automata	Text retrieval	Levenshtein	A07-O0232,A07-O0244,A07-O0250,A07-O0259,A08-O0597,A09-O0551,A09-O0557,A09-O0575	ALG-041-A1,ALG-041-A2,ALG-041-A3
ALG-042	Louvain modularity	Community	Louvain	A07-O0011,A07-O0021,A07-O0034,A07-O0060,A07-O0081,A07-O0809,A08-O0061,A08-O0067,A08-O0080,A08-O0087,A08-O0096,A08-O0536,A08-O0739,A09-O0004,A09-O0022,A09-O0035,A09-O0040,A09-O0043,A09-O0049,A09-O0075,A09-O0082,A09-O0620,A09-O0916,A09-O0917,A09-O1143,A09-O1157	ALG-042-A1,ALG-042-A2,ALG-042-A3
ALG-043	Locality-sensitive hashing	Vector ANN	LSH	A08-O0582	ALG-043-A1,ALG-043-A2,ALG-043-A3
