canonical_hint	raw_name	path	line_start	line_end	context_kind	evidence_id
centrality-family	centrality	docs_PRD06/graph-learning/algorithm-application-domains-map.md	53	53	algorithm_family	A09-O0033
shortest-paths	shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	54	54	algorithm_family	A09-O0034
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	54	54	algorithm	A09-O0035
k-core	k-core	docs_PRD06/graph-learning/algorithm-application-domains-map.md	54	54	algorithm	A09-O0036
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	55	55	algorithm	A09-O0037
community-detection	community modules	docs_PRD06/graph-learning/algorithm-application-domains-map.md	55	55	algorithm_family	A09-O0038
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	60	60	algorithm	A09-O0039
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	61	61	algorithm	A09-O0040
fastrp	FastRP	docs_PRD06/graph-learning/algorithm-application-domains-map.md	61	61	algorithm	A09-O0041
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	73	73	algorithm_family	A09-O0042
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	75	75	algorithm	A09-O0043
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	77	77	algorithm	A09-O0044
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	86	86	algorithm_family	A09-O0045
csr-build	CSR	docs_PRD06/graph-learning/algorithm-application-domains-map.md	86	86	storage_algorithm	A09-O0046
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	94	94	algorithm_family	A09-O0047
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	95	95	algorithm_family	A09-O0048
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	95	95	algorithm	A09-O0049
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	96	96	algorithm	A09-O0050
knn-search	KNN	docs_PRD06/graph-learning/algorithm-application-domains-map.md	97	97	algorithm_family	A09-O0051
shortest-paths	shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	98	98	algorithm_family	A09-O0052
knn-search	KNN	docs_PRD06/graph-learning/algorithm-application-domains-map.md	98	98	algorithm_family	A09-O0053
history-checking	elle	docs_PRD06/graph-learning/algorithm-application-domains-map.md	102	102	verification_method	A09-O0054
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	108	108	algorithm_family	A09-O0055
nodesimilarity	NodeSimilarity	docs_PRD06/graph-learning/algorithm-application-domains-map.md	108	108	algorithm_family	A09-O0056
jaccard-overlap-cosine	overlap	docs_PRD06/graph-learning/algorithm-application-domains-map.md	108	108	algorithm_family	A09-O0057
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	112	112	algorithm_family	A09-O0058
nodesimilarity	NodeSimilarity	docs_PRD06/graph-learning/algorithm-application-domains-map.md	121	121	algorithm_family	A09-O0059
jaccard-overlap-cosine	Jaccard	docs_PRD06/graph-learning/algorithm-application-domains-map.md	121	121	algorithm_family	A09-O0060
csr-build	CSR	docs_PRD06/graph-learning/algorithm-application-domains-map.md	122	122	storage_algorithm	A09-O0061
fastrp	FastRP	docs_PRD06/graph-learning/algorithm-application-domains-map.md	123	123	algorithm	A09-O0062
graph-embeddings	embeddings	docs_PRD06/graph-learning/algorithm-application-domains-map.md	123	123	algorithm_family	A09-O0063
hnsw-search	HNSW	docs_PRD06/graph-learning/algorithm-application-domains-map.md	123	123	algorithm	A09-O0064
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	126	126	algorithm	A09-O0065
shortest-paths	shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	136	136	algorithm_family	A09-O0066
yen-k-shortest	k-shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	136	136	algorithm	A09-O0067
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	138	138	algorithm_family	A09-O0068
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	140	140	algorithm	A09-O0069
betweenness-centrality	betweenness	docs_PRD06/graph-learning/algorithm-application-domains-map.md	140	140	algorithm	A09-O0070
reachability	reachability	docs_PRD06/graph-learning/algorithm-application-domains-map.md	142	142	algorithm_family	A09-O0071
shortest-paths	shortest path	docs_PRD06/graph-learning/algorithm-application-domains-map.md	151	151	algorithm_family	A09-O0072
bfs	BFS	docs_PRD06/graph-learning/algorithm-application-domains-map.md	152	152	algorithm	A09-O0073
dijkstra	Dijkstra	docs_PRD06/graph-learning/algorithm-application-domains-map.md	152	152	algorithm	A09-O0074
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	153	153	algorithm	A09-O0075
k-core	k-core	docs_PRD06/graph-learning/algorithm-application-domains-map.md	154	154	algorithm	A09-O0076
triangle-counting	triangles	docs_PRD06/graph-learning/algorithm-application-domains-map.md	154	154	algorithm	A09-O0077
reachability	reachability	docs_PRD06/graph-learning/algorithm-application-domains-map.md	156	156	algorithm_family	A09-O0078
bfs	BFS	docs_PRD06/graph-learning/algorithm-application-domains-map.md	157	157	algorithm	A09-O0079
csr-build	CSR	docs_PRD06/graph-learning/algorithm-application-domains-map.md	157	157	storage_algorithm	A09-O0080
csr-build	CSR	docs_PRD06/graph-learning/algorithm-application-domains-map.md	158	158	storage_algorithm	A09-O0081
louvain	Louvain	docs_PRD06/graph-learning/algorithm-application-domains-map.md	167	167	algorithm	A09-O0082
leiden	Leiden	docs_PRD06/graph-learning/algorithm-application-domains-map.md	167	167	algorithm	A09-O0083
community-detection	community detection	docs_PRD06/graph-learning/algorithm-application-domains-map.md	167	167	algorithm_family	A09-O0084
shortest-paths	path search	docs_PRD06/graph-learning/algorithm-application-domains-map.md	170	170	algorithm_family	A09-O0085
leiden	Leiden	docs_PRD06/graph-learning/algorithm-application-domains-map.md	181	181	algorithm	A09-O0086
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map.md	194	194	algorithm	A09-O0087
centrality-family	centrality	docs_PRD06/graph-learning/algorithm-application-domains-map.md	194	194	algorithm_family	A09-O0088
community-detection	community modules	docs_PRD06/graph-learning/algorithm-application-domains-map.md	195	195	algorithm_family	A09-O0089
graph-embeddings	embeddings	docs_PRD06/graph-learning/algorithm-application-domains-map.md	197	197	algorithm_family	A09-O0090
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	219	219	algorithm_family	A09-O0091
tolerant-validation	tolerant	docs_PRD06/graph-learning/algorithm-application-domains-map.md	230	230	verification_method	A09-O0092
tolerant-validation	tolerant	docs_PRD06/graph-learning/algorithm-application-domains-map.md	233	233	verification_method	A09-O0093
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	248	248	algorithm_family	A09-O0094
graph-embeddings	embeddings	docs_PRD06/graph-learning/algorithm-application-domains-map.md	250	250	algorithm_family	A09-O0095
out-of-core-graph-processing	out-of-core	docs_PRD06/graph-learning/algorithm-application-domains-map.md	254	254	storage_algorithm	A09-O0096
csr-build	CSR	docs_PRD06/graph-learning/algorithm-application-domains-map.md	255	255	storage_algorithm	A09-O0097
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	265	265	algorithm_family	A09-O0098
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map.md	266	266	algorithm_family	A09-O0099
nodesimilarity	NodeSimilarity	docs_PRD06/graph-learning/algorithm-application-domains-map.md	269	269	algorithm_family	A09-O0100
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	7	7	verification_method	A09-O0101
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	12	12	verification_method	A09-O0102
tolerant-validation	tolerant	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	15	15	verification_method	A09-O0103
history-checking	jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	18	18	verification_method	A09-O0104
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	26	26	verification_method	A09-O0105
metamorphic-testing	TLP	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	27	27	verification_method	A09-O0106
metamorphic-testing	NoREC	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	28	28	verification_method	A09-O0107
history-checking	history checking	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	29	29	verification_method	A09-O0108
differential-validation	differential validation	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	32	32	verification_method	A09-O0109
tolerant-validation	epsilon	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	34	34	verification_method	A09-O0110
recall-validation	brute-force k-NN	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	37	37	verification_method	A09-O0111
tolerant-validation	tolerant	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	41	41	verification_method	A09-O0112
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	49	49	verification_method	A09-O0113
history-checking	history checking	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	55	55	verification_method	A09-O0114
history-checking	Knossos	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	56	56	verification_method	A09-O0115
history-checking	Jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	61	61	verification_method	A09-O0116
history-checking	Jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	70	70	verification_method	A09-O0117
history-checking	Jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	73	73	verification_method	A09-O0118
connected-components	WCC	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	81	81	algorithm_family	A09-O0119
connected-components	WCC	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	84	84	algorithm_family	A09-O0120
hook-shortcut	hook	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	85	85	algorithm	A09-O0121
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	86	86	verification_method	A09-O0122
tolerant-validation	EquivalenceValidationRule	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	89	89	verification_method	A09-O0123
connected-components	WCC	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	93	93	algorithm_family	A09-O0124
history-checking	history checking	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	94	94	verification_method	A09-O0125
packstream-encoding	PackStream	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	107	107	protocol	A09-O0126
differential-validation	exact diff	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	107	107	verification_method	A09-O0127
bolt-protocol	Bolt	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	108	108	protocol	A09-O0128
stub-conformance	boltstub	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	108	108	verification_method	A09-O0129
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	109	109	verification_method	A09-O0130
stub-conformance	TCK	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	112	112	verification_method	A09-O0131
tolerant-validation	epsilon	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	114	114	verification_method	A09-O0132
history-checking	Jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	118	118	verification_method	A09-O0133
metamorphic-testing	PQS	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	130	130	verification_method	A09-O0134
history-checking	Jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	132	132	verification_method	A09-O0135
history-checking	linearizability	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	134	134	verification_method	A09-O0136
metamorphic-testing	NoREC	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	147	147	verification_method	A09-O0137
history-checking	jepsen	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	148	148	verification_method	A09-O0138
tolerant-validation	EquivalenceValidationRule	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	150	150	verification_method	A09-O0139
metamorphic-testing	metamorphic	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	155	155	verification_method	A09-O0140
tolerant-validation	tolerant	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	156	156	verification_method	A09-O0141
hook-shortcut	Shortcut	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	1	1	algorithm	A09-O0142
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	1	1	storage_algorithm	A09-O0143
hook-shortcut	shortcut	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	6	6	algorithm	A09-O0144
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	6	6	storage_algorithm	A09-O0145
ordered-search-merge	sorted runs	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	11	11	algorithm_family	A09-O0146
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	12	12	storage_algorithm	A09-O0147
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	15	15	storage_algorithm	A09-O0148
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	38	38	storage_algorithm	A09-O0149
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	38	38	storage_algorithm	A09-O0150
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	45	45	storage_algorithm	A09-O0151
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	45	45	storage_algorithm	A09-O0152
lsm-compaction	LSM	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	58	58	storage_algorithm	A09-O0153
lsm-compaction	LSM	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	61	61	storage_algorithm	A09-O0154
ordered-search-merge	sorted runs	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	61	61	algorithm_family	A09-O0155
bloom-filter	BLOOM	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	66	66	storage_algorithm	A09-O0156
ordered-search-merge	binary search	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	67	67	algorithm_family	A09-O0157
mvcc-snapshot	mvcc	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	69	69	protocol	A09-O0158
lsm-compaction	SSTable	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	73	73	storage_algorithm	A09-O0159
lsm-compaction	compaction	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	74	74	storage_algorithm	A09-O0160
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	77	77	storage_algorithm	A09-O0161
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	78	78	storage_algorithm	A09-O0162
lsm-compaction	compaction	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	79	79	storage_algorithm	A09-O0163
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	81	81	storage_algorithm	A09-O0164
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	85	85	storage_algorithm	A09-O0165
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	86	86	storage_algorithm	A09-O0166
lsm-compaction	LSM	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	98	98	storage_algorithm	A09-O0167
ordered-search-merge	binary search	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	102	102	algorithm_family	A09-O0168
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	104	104	storage_algorithm	A09-O0169
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	120	120	storage_algorithm	A09-O0170
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	122	122	storage_algorithm	A09-O0171
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	126	126	storage_algorithm	A09-O0172
posting-compression	posting	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	127	127	storage_algorithm	A09-O0173
posting-compression	posting	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	131	131	storage_algorithm	A09-O0174
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	132	132	storage_algorithm	A09-O0175
fst-dictionary	FST	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	133	133	storage_algorithm	A09-O0176
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	136	136	storage_algorithm	A09-O0177
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	145	145	storage_algorithm	A09-O0178
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	145	145	storage_algorithm	A09-O0179
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	146	146	storage_algorithm	A09-O0180
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	147	147	storage_algorithm	A09-O0181
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	149	149	storage_algorithm	A09-O0182
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	149	149	storage_algorithm	A09-O0183
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	150	150	storage_algorithm	A09-O0184
bloom-filter	bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	150	150	storage_algorithm	A09-O0185
lsm-compaction	lsm	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	154	154	storage_algorithm	A09-O0186
bloom-filter	Bloom	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	155	155	storage_algorithm	A09-O0187
roaring-idsets	roaring	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	155	155	storage_algorithm	A09-O0188
mvcc-snapshot	mvcc	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	157	157	protocol	A09-O0189
bloom-filter	Ribbon filter	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	158	158	storage_algorithm	A09-O0190
jaccard-overlap-cosine	overlap	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	161	161	algorithm_family	A09-O0191
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	1	1	algorithm	A09-O0192
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	1	1	algorithm_family	A09-O0193
bm25-scoring	bm25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	6	6	algorithm	A09-O0194
wand-pruning	wand	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	6	6	algorithm_family	A09-O0195
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	7	7	algorithm	A09-O0196
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	7	7	algorithm_family	A09-O0197
posting-compression	posting	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	7	7	storage_algorithm	A09-O0198
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	13	13	algorithm	A09-O0199
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	14	14	algorithm_family	A09-O0200
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	19	19	algorithm	A09-O0201
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	40	40	algorithm_family	A09-O0202
posting-compression	posting	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	47	47	storage_algorithm	A09-O0203
hnsw-search	HNSW	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	49	49	algorithm	A09-O0204
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	52	52	algorithm_family	A09-O0205
wand-pruning	BLOCK max	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	57	57	algorithm_family	A09-O0206
posting-compression	posting	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	57	57	storage_algorithm	A09-O0207
posting-compression	skip data	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	58	58	storage_algorithm	A09-O0208
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	59	59	algorithm_family	A09-O0209
posting-compression	posting	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	70	70	storage_algorithm	A09-O0210
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	77	77	algorithm	A09-O0211
posting-compression	posting	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	81	81	storage_algorithm	A09-O0212
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	88	88	algorithm	A09-O0213
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	88	88	algorithm_family	A09-O0214
bm25-scoring	bm25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	89	89	algorithm	A09-O0215
wand-pruning	block-max	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	89	89	algorithm_family	A09-O0216
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	90	90	algorithm	A09-O0217
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	91	91	algorithm	A09-O0218
rank-fusion	RRF	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	91	91	algorithm_family	A09-O0219
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	99	99	algorithm	A09-O0220
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	100	100	algorithm_family	A09-O0221
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	108	108	algorithm_family	A09-O0222
ivf-probe	IVF	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	110	110	algorithm_family	A09-O0223
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	110	110	algorithm_family	A09-O0224
posting-compression	skip data	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	110	110	storage_algorithm	A09-O0225
bm25-scoring	bm25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	125	125	algorithm	A09-O0226
bm25-scoring	bm25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	139	139	algorithm	A09-O0227
wand-pruning	block-max	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	140	140	algorithm_family	A09-O0228
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	149	149	algorithm	A09-O0229
wand-pruning	WAND	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	150	150	algorithm_family	A09-O0230
jaccard-overlap-cosine	overlap	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	152	152	algorithm_family	A09-O0231
bm25-scoring	BM25	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	152	152	algorithm	A09-O0232
wand-pruning	block-max	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	154	154	algorithm_family	A09-O0233
