lane	path	sha256	bytes	line_count	read_span	coverage_status	algorithms_mentioned	patterns_mentioned	evidence_id
lane-09	docs_PRD06/graph-learning/fst-term-dictionary-mermaid.md	3a1d0d68e49b07fd4911d8324fd5f3ef5e31eb15288c3fffb16f6aad4368caa9	8400	150	1-150	line_read	bloom-filter,delta-rle-compression,fst-dictionary,jaccard-overlap-cosine,levenshtein-automata,lsm-compaction,posting-compression,wand-pruning	none	A09-F0012
lane-09	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-ascii.md	1ee8edf8f4eeac7b0a9cd2ebefb6be681695ebfa444ad48d6013236c6157540e	8189	171	1-171	line_read	afforest,bellman-ford,bfs,community-detection,connected-components,csr-build,degree-centrality,delta-stepping,dijkstra,frontier-push-pull,graph-partitioning,hashgnn,hnsw-search,hook-shortcut,k-core,label-propagation,leiden,louvain,lsm-compaction,out-of-core-graph-processing,pagerank,reachability,roaring-idsets,semiring-traversal,spmv-spgemm,triangle-counting	differential-validation	A09-F0013
lane-09	docs_PRD06/graph-learning/hnsw-layered-greedy-mermaid.md	c2bad02935ee18d6f05e8c513441cb5e54d192d426b004e6e45f661f5fc92592	7566	152	1-152	line_read	csr-build,delta-stepping,hnsw-search,ivf-probe,jaccard-overlap-cosine,knn-search,vamana-ann,vector-quantization	recall-validation	A09-F0014
lane-09	docs_PRD06/graph-learning/incremental-delta-iteration-mermaid.md	fc420f30d646614d0fefb06e9144d9fcf8a88673849d7fb5942c7791358641c7	8216	153	1-153	line_read	bfs,connected-components,frontier-push-pull,incremental-delta-iteration,lsm-compaction,pagerank,superstep-bsp	history-checking	A09-F0015
lane-09	docs_PRD06/graph-learning/lsm-compaction-tradeoff-ascii.md	6ed5fdb8800d1a2fd180851f6b43fcd22a95bdc09cd46d33303348229d0cb2c9	8343	184	1-184	line_read	bloom-filter,hook-shortcut,jaccard-overlap-cosine,lsm-compaction,ordered-search-merge,posting-compression,triangle-counting,wal-group-commit	none	A09-F0016
lane-09	docs_PRD06/graph-learning/lsm-compaction-tradeoff-mermaid.md	5c0943336d9eb41bd50d0753d7bd693312e1531d9e829d9a967845d1b3fe8de6	6963	174	1-174	line_read	bloom-filter,hook-shortcut,jaccard-overlap-cosine,lsm-compaction,ordered-search-merge,posting-compression,triangle-counting,wal-group-commit	none	A09-F0017
lane-09	docs_PRD06/graph-learning/neo4j-ecosystem-pattern-synthesis-ascii.md	24ba8407b63ddb58f88c98827dd6c44ba3ab748b80df86af354b29bd0d34eca7	7622	169	1-169	line_read	none	bolt-protocol,history-checking,packstream-encoding,stub-conformance	A09-F0018
lane-09	docs_PRD06/graph-learning/pagerank-iteration-convergence-ascii.md	7dd44be9862043bc592d98e7af7ea0985a0938cb4486b1748b6a95a12a37d758	7468	163	1-163	line_read	centrality-family,csr-build,eigenvector-family,hashgnn,immutable-delta-rebuild,jaccard-overlap-cosine,label-propagation,out-of-core-graph-processing,pagerank,semiring-traversal	none	A09-F0019
lane-09	docs_PRD06/graph-learning/pmf-analysis-shreyas-doshi-lens.md	66eb5e8f60ca473f02bbfea1d3a0b760de3e14d893b78e11d1c584ec584c47fa	13216	238	1-238	line_read	bm25-scoring,csr-build,graph-embeddings,hnsw-search,incremental-delta-iteration,ivf-probe,lsm-compaction,rank-fusion,vamana-ann,vector-quantization,wand-pruning	bolt-protocol,history-checking,packstream-encoding,recall-validation,stub-conformance	A09-F0020
lane-09	docs_PRD06/graph-learning/product-quantization-ladder-ascii.md	2e1cff83f5695b64505c1dc04d9a7872f224b0cb05bbaf591b8b15d5fb6aea8f	6504	152	1-152	line_read	bloom-filter,graph-embeddings,hnsw-search,hook-shortcut,ivf-probe,jaccard-overlap-cosine,roaring-idsets,vamana-ann,vector-quantization	recall-validation	A09-F0021
lane-09	docs_PRD06/graph-learning/pull-operator-pipeline-mermaid.md	336899e68576e5d0fde4b6a6805efd761b28db54ac7da8622e23fc38e8740d7c	7366	151	1-151	line_read	bm25-scoring,degree-centrality,frontier-push-pull,hnsw-search,record-chain-adjacency,wand-pruning	pull-operator-pipeline,stub-conformance	A09-F0022
lane-09	docs_PRD06/graph-learning/research-papers-ledger.md	822b3124eb8036a9a0247ffef270e5c0eb9b966c14274887116beb9456234416	8198	95	1-95	line_read	aries-recovery,bfs,bm25-scoring,fastrp,frontier-push-pull,fst-dictionary,graph-embeddings,graph-partitioning,graphsage,hnsw-search,ivf-probe,leiden,louvain,lsm-compaction,node2vec,out-of-core-graph-processing,pagerank,posting-compression,superstep-bsp,vamana-ann,vector-quantization,wal-group-commit,wand-pruning	none	A09-F0023
lane-09	docs_PRD06/graph-learning/semiring-matrix-traversal-ascii.md	d3946c2fa25fabb548435a08585b90b13d92d68970843ee806aea23cb5fb3756	7997	176	1-176	line_read	betweenness-centrality,bfs,csr-build,fastsv,frontier-push-pull,hook-shortcut,jaccard-overlap-cosine,lsm-compaction,pagerank,reachability,roaring-idsets,semiring-traversal,shortest-paths,spmv-spgemm,triangle-counting	bolt-protocol	A09-F0024
lane-09	docs_PRD06/graph-learning/semiring-matrix-traversal-mermaid.md	ef1fb3e2088ccb7445bca0a16911f33fb14bf20b8125368248213636612f48e1	7986	152	1-152	line_read	bfs,csr-build,fastsv,frontier-push-pull,hook-shortcut,jaccard-overlap-cosine,lsm-compaction,pagerank,reachability,roaring-idsets,semiring-traversal,spmv-spgemm,triangle-counting	none	A09-F0025
lane-09	docs_PRD06/graph-learning/storage-engine-pattern-synthesis-mermaid.md	880126ed01e3e71546211ad6a396a5fe05cf9851cd750ab3d84137c738885ce8	7878	150	1-150	line_read	bloom-filter,cow-tree-snapshot,csr-build,lsm-compaction,roaring-idsets,triangle-counting,wal-group-commit	mvcc-snapshot,tolerant-validation	A09-F0026
lane-09	docs_PRD06/graph-learning/tolerant-equivalence-validation-mermaid.md	617784da838e1f321284ea59a047cc819eeea70673ebe0531903f6fc2a7683a4	8306	154	1-154	line_read	bfs,community-detection,connected-components,hook-shortcut,louvain,pagerank	metamorphic-testing,tolerant-validation	A09-F0027
lane-09	docs_PRD06/graph-learning/triple-permutation-indexing-ascii.md	66979b02b8b71637fe5f31cc0828bd342c9b7fff2380562c01ffe6d38707293a	6417	151	1-151	line_read	eigenvector-family,fst-dictionary,lsm-compaction,posting-compression,record-chain-adjacency,triple-permutation-indexing	none	A09-F0028
lane-09	docs_PRD06/graph-learning/wal-group-commit-ascii.md	fef546d91ae5710b3c6b61629dedf97f5534a852421d6d1b35883d3e699d454e	7234	159	1-159	line_read	aries-recovery,jaccard-overlap-cosine,lsm-compaction,wal-group-commit	mvcc-snapshot	A09-F0029
