arxiv_id	versioned_id	published	categories	section	title	authors	v003_relevance	local_pdf
2409.01102	2409.01102v2	2024-09-02	cs.DB	query	GQL and SQL/PGQ: Theoretical Models and Expressive Power	Amélie Gheerbrant, Leonid Libkin, Liat Peterfreund, Alexandra Rogova	Theoretical model and expressive power of current graph query standards.	arxiv-papers/2409.01102-gql-and-sql-pgq-theoretical-models-and-expressive-power.pdf
2306.02194	2306.02194v3	2023-06-03	cs.DB	query	PathFinder: A unified approach for handling paths in graph query languages	Benjamín Farías, Wim Martens, Carlos Rojas, Domagoj Vrgoč	Path handling in graph query languages.	arxiv-papers/2306.02194-pathfinder-a-unified-approach-for-handling-paths-in-graph-query-languages.pdf
2604.02553	2604.02553v1	2026-04-02	cs.DB	query	Efficient Path Query Processing in Relational Database Systems	Diego Rivera Correa, Mirek Riedewald	Relational processing of path queries.	arxiv-papers/2604.02553-efficient-path-query-processing-in-relational-database-systems.pdf
2504.04584	2504.04584v1	2025-04-06	cs.DB	query	BARQ: A Vectorized SPARQL Query Execution Engine	Simon Grätzer, Lars Heling, Pavel Klinov	BARQ: vectorized SPARQL engine; useful for graph-query execution design.	arxiv-papers/2504.04584-barq-a-vectorized-sparql-query-execution-engine.pdf
2003.03079	2003.03079v2	2020-03-06	cs.DB	query-index	Language-aware Indexing for Conjunctive Path Queries	Yuya Sasaki, George Fletcher, Makoto Onizuka	Language-aware/structural indexing for conjunctive path queries.	arxiv-papers/2003.03079-language-aware-indexing-for-conjunctive-path-queries.pdf
2512.01733	2512.01733v1	2025-12-01	cs.DB	query-index	Answering Constraint Path Queries over Graphs	Heyang Li, Anthony Widjaja Lin, Domagoj Vrgoč	Constraint path queries over property graphs; future advanced Cypher/GQL planning input.	arxiv-papers/2512.01733-answering-constraint-path-queries-over-graphs.pdf
1904.08380	1904.08380v1	2019-04-17	cs.DC,cs.DS,cs.PL	oltp-dynamic	Low-Latency Graph Streaming Using Compressed Purely-Functional Trees	Laxman Dhulipala, Julian Shun, Guy Blelloch	Aspen/C-trees: compressed purely-functional trees for low-latency graph streaming.	arxiv-papers/1904.08380-low-latency-graph-streaming-using-compressed-purely-functional-trees.pdf
2507.00839	2507.00839v1	2025-07-01	cs.DB	oltp-dynamic	RapidStore: An Efficient Dynamic Graph Storage System for Concurrent Queries	Chiyu Hao, Jixian Su, Shixuan Sun, Hao Zhang, Sen Gao, Jianwen Zhao, Chenyi Zhang, Jieru Zhao, Chen Chen, Minyi Guo	RapidStore: read-heavy concurrent dynamic graph storage.	arxiv-papers/2507.00839-rapidstore-an-efficient-dynamic-graph-storage-system-for-concurrent-queries.pdf
2601.01444	2601.01444v2	2026-01-04	cs.DB	oltp-dynamic	RadixGraph: A Fast, Space-Optimized Data Structure for Dynamic Graph Storage (Extended Version)	Haoxuan Xie, Junfeng Liu, Siqiang Luo, Kai Wang	RadixGraph: newer space-optimized dynamic graph storage.	arxiv-papers/2601.01444-radixgraph-a-fast-space-optimized-data-structure-for-dynamic-graph-storage-exten.pdf
2312.14396	2312.14396v5	2023-12-22	cs.DB	oltp-dynamic	GastCoCo: Graph Storage and Coroutine-Based Prefetch Co-Design for Dynamic Graph Processing	Hongfu Li, Qian Tao, Song Yu, Shufeng Gong, Yanfeng Zhang, Feng Yao, Wenyuan Yu, Ge Yu, Jingren Zhou	GastCoCo: graph storage + coroutine prefetch co-design.	arxiv-papers/2312.14396-gastcoco-graph-storage-and-coroutine-based-prefetch-co-design-for-dynamic-graph-.pdf
1912.12740	1912.12740v4	2019-12-29	cs.DC,cs.DB,cs.DS,cs.PF	oltp-dynamic	Practice of Streaming Processing of Dynamic Graphs: Concepts, Models, and Systems	Maciej Besta, Marc Fischer, Vasiliki Kalavri, Michael Kapralov, Torsten Hoefler	Taxonomy for streaming/dynamic graph systems.	arxiv-papers/1912.12740-practice-of-streaming-processing-of-dynamic-graphs-concepts-models-and-systems.pdf
2305.11162	2305.11162v3	2023-05-18	cs.DB,cs.DC	oltp-olap	The Graph Database Interface: Scaling Online Transactional and Analytical Graph Workloads to Hundreds of Thousands of Cores	Maciej Besta, Robert Gerstenberger, Marc Fischer, Michał Podstawski, Nils Blach, Berke Egeli, Georgy Mitenkov, Wojciech Chlapek, Marek Michalewicz, Hubert Niewiadomski, Jürgen Müller, Torsten Hoefler	Interface for scaling OLTP and OLAP graph workloads.	arxiv-papers/2305.11162-the-graph-database-interface-scaling-online-transactional-and-analytical-graph-w.pdf
2510.11166	2510.11166v1	2025-10-13	cs.DB	oltp-olap	Poseidon: A OneGraph Engine	Brad Bebee, Ümit V. Çatalyürek, Olaf Hartig, Ankesh Khandelwal, Simone Rondelli, Michael Schmidt, Lefteris Sidirourgos, Bryan Thompson	Recent graph engine architecture; useful for unified API + algorithms.	arxiv-papers/2510.11166-poseidon-a-onegraph-engine.pdf
2111.01540	2111.01540v1	2021-11-02	cs.DB	graph-db-architecture	MillenniumDB: A Persistent, Open-Source, Graph Database	Domagoj Vrgoc, Carlos Rojas, Renzo Angles, Marcelo Arenas, Diego Arroyuelo, Carlos Buil Aranda, Aidan Hogan, Gonzalo Navarro, Cristian Riveros, Juan Romero	MillenniumDB: storage, indexing, planning, path-query architecture.	arxiv-papers/2111.01540-millenniumdb-a-persistent-open-source-graph-database.pdf
1812.10977	1812.10977v1	2018-12-28	cs.DS,cs.DB	olap-compression	Compact and Efficient Representation of General Graph Databases	Sandra Álvarez-García, Borja Freire, Susana Ladra, Óscar Pedreira	Compact general graph databases; property/labeled graph compression.	arxiv-papers/1812.10977-compact-and-efficient-representation-of-general-graph-databases.pdf
1006.0809	1006.0809v2	2010-06-04	cs.DS	olap-compression	Tight and simple Web graph compression	Szymon Grabowski, Wojciech Bieniecki	Classic adjacency compression baseline.	arxiv-papers/1006.0809-tight-and-simple-web-graph-compression.pdf
1602.08820	1602.08820v1	2016-02-29	cs.DS,cs.SI	olap-compression	Compressing Graphs and Indexes with Recursive Graph Bisection	Laxman Dhulipala, Igor Kabiljo, Brian Karrer, Giuseppe Ottaviano, Sergey Pupyrev, Alon Shalita	Recursive bisection for graph/index compression and locality.	arxiv-papers/1602.08820-compressing-graphs-and-indexes-with-recursive-graph-bisection.pdf
2403.02665	2403.02665v1	2024-03-05	cs.DS,cs.DC,cs.PF	olap-pmem	DGAP: Efficient Dynamic Graph Analysis on Persistent Memory	Abdullah Al Raqibul Islam, Dong Dai	DGAP: mutable CSR on persistent memory; useful as alternative/anti-pattern for v003.	arxiv-papers/2403.02665-dgap-efficient-dynamic-graph-analysis-on-persistent-memory.pdf
1707.02557	1707.02557v1	2017-07-09	cs.DC	olap-external	GraphMP: An Efficient Semi-External-Memory Big Graph Processing System on a Single Machine	Peng Sun, Yonggang Wen, Ta Nguyen Binh Duong, Xiaokui Xiao	GraphMP single-machine semi-external graph processing.	arxiv-papers/1707.02557-graphmp-an-efficient-semi-external-memory-big-graph-processing-system-on-a-singl.pdf
1810.04334	1810.04334v2	2018-10-09	cs.DC	olap-external	GraphMP: I/O-Efficient Big Graph Analytics on a Single Commodity Machine	Peng Sun, Yonggang Wen, Ta Nguyen Binh Duong, Xiaokui Xiao	GraphMP I/O-efficient commodity-machine analytics.	arxiv-papers/1810.04334-graphmp-i-o-efficient-big-graph-analytics-on-a-single-commodity-machine.pdf
1905.04264	1905.04264v2	2019-05-10	cs.DC	olap-external	PartitionedVC: Partitioned External Memory Graph Analytics Framework for SSDs	Kiran Kumar Matam, Hanieh Hashemi, Murali Annavaram	PartitionedVC for SSD-backed active-vertex workloads.	arxiv-papers/1905.04264-partitionedvc-partitioned-external-memory-graph-analytics-framework-for-ssds.pdf
1710.07736	1710.07736v1	2017-10-21	cs.DB	olap-external	BigSparse: High-performance external graph analytics	Sang-Woo Jun, Andy Wright, Sizhuo Zhang, Shuotao Xu,  Arvind	BigSparse external graph analytics.	arxiv-papers/1710.07736-bigsparse-high-performance-external-graph-analytics.pdf
1907.03335	1907.03335v1	2019-07-07	cs.DC,cs.DB	olap-external	Graphyti: A Semi-External Memory Graph Library for FlashGraph	Disa Mhembere, Da Zheng, Carey E. Priebe, Joshua T. Vogelstein, Randal Burns	Graphyti/FlashGraph semi-external library patterns.	arxiv-papers/1907.03335-graphyti-a-semi-external-memory-graph-library-for-flashgraph.pdf
2101.06911	2101.06911v1	2021-01-18	cs.DC	olap-external	DFOGraph: An I/O- and Communication-Efficient System for Distributed Fully-out-of-Core Graph Processing	Jiping Yu, Wei Qin, Xiaowei Zhu, Zhenbo Sun, Jianqiang Huang, Xiaohan Li, Wenguang Chen	DFOGraph; lower priority because distributed, but useful for partitioning.	arxiv-papers/2101.06911-dfograph-an-i-o-and-communication-efficient-system-for-distributed-fully-out-of-.pdf
2311.14650	2311.14650v5	2023-11-24	cs.PF	olap-builder	GVEL: Fast Graph Loading in Edgelist and Compressed Sparse Row (CSR) formats	Subhajit Sahu	GVEL: fast edgelist and CSR loading.	arxiv-papers/2311.14650-gvel-fast-graph-loading-in-edgelist-and-compressed-sparse-row-csr-formats.pdf
2407.15581	2407.15581v1	2024-07-22	cs.DB	storage-lsm	vLSM: Low tail latency and I/O amplification in LSM-based KV stores	Giorgos Xanthakis, Antonios Katsarakis, Giorgos Saloustros, Angelos Bilas	vLSM: tail latency and amplification tradeoffs.	arxiv-papers/2407.15581-vlsm-low-tail-latency-and-i-o-amplification-in-lsm-based-kv-stores.pdf
2506.04678	2506.04678v2	2025-06-05	cs.DB	storage-lsm	BVLSM: Write-Efficient LSM-Tree Storage via WAL-Time Key-Value Separation	Ming Li, Wendi Cheng, Jiahe Wei, Xueqiang Shan, Weikai Liu, Xiaonan Zhao, Xiao Zhang	BVLSM: WAL-time key-value separation; relevant for property sidecars.	arxiv-papers/2506.04678-bvlsm-write-efficient-lsm-tree-storage-via-wal-time-key-value-separation.pdf
2005.14213	2005.14213v2	2020-05-28	cs.DB,cs.LG	storage-lsm	From WiscKey to Bourbon: A Learned Index for Log-Structured Merge Trees	Yifan Dai, Yien Xu, Aishwarya Ganesan, Ramnatthan Alagappan, Brian Kroth, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau	Bourbon: learned index for LSM; future property/key index ideas.	arxiv-papers/2005.14213-from-wisckey-to-bourbon-a-learned-index-for-log-structured-merge-trees.pdf
2307.16693	2307.16693v1	2023-07-31	cs.DB	storage-lsm	AisLSM: Revolutionizing the Compaction with Asynchronous I/Os for LSM-tree	Yanpeng Hu, Li Zhu, Lei Jia, Chundong Wang	AisLSM: asynchronous I/O for LSM compaction.	arxiv-papers/2307.16693-aislsm-revolutionizing-the-compaction-with-asynchronous-i-os-for-lsm-tree.pdf
2308.07013	2308.07013v2	2023-08-14	cs.DB,cs.LG	storage-lsm	Learning to Optimize LSM-trees: Towards A Reinforcement Learning based Key-Value Store for Dynamic Workloads	Dingheng Mo, Fanchao Chen, Siqiang Luo, Caihua Shan	RL-based dynamic LSM optimization.	arxiv-papers/2308.07013-learning-to-optimize-lsm-trees-towards-a-reinforcement-learning-based-key-value-.pdf
2504.17178	2504.17178v1	2025-04-24	cs.DB	storage-lsm	How to Grow an LSM-tree? Towards Bridging the Gap Between Theory and Practice	Dingheng Mo, Siqiang Luo, Stratos Idreos	Vertiorizon: LSM growth strategy tradeoffs.	arxiv-papers/2504.17178-how-to-grow-an-lsm-tree-towards-bridging-the-gap-between-theory-and-practice.pdf
2406.18892	2406.18892v2	2024-06-27	cs.DB,cs.LG	storage-lsm	LearnedKV: Integrating LSM and Learned Index for Superior Performance on Storage	Wenlong Wang, David Hung-Chang Du	LearnedKV: LSM + learned index tiering.	arxiv-papers/2406.18892-learnedkv-integrating-lsm-and-learned-index-for-superior-performance-on-storage.pdf
2508.13909	2508.13909v1	2025-08-19	cs.DB	storage-lsm	Scavenger: Better Space-Time Trade-Offs for Key-Value Separated LSM-trees	Jianshun Zhang, Fang Wang, Sheng Qiu, Yi Wang, Jiaxin Ou, Junxun Huang, Baoquan Li, Peng Fang, Dan Feng	Scavenger: space-time tradeoffs for KV-separated LSM.	arxiv-papers/2508.13909-scavenger-better-space-time-trade-offs-for-key-value-separated-lsm-trees.pdf
2508.13935	2508.13935v1	2025-08-19	cs.DB	storage-lsm	Scavenger+: Revisiting Space-Time Tradeoffs in Key-Value Separated LSM-trees	Jianshun Zhang, Fang Wang, Jiaxin Ou, Yi Wang, Ming Zhao, Sheng Qiu, Junxun Huang, Baoquan Li, Peng Fang, Dan Feng	Scavenger+: revisited key-value separated LSM tradeoffs.	arxiv-papers/2508.13935-scavenger-revisiting-space-time-tradeoffs-in-key-value-separated-lsm-trees.pdf
2603.05162	2603.05162v1	2026-03-05	cs.DB	storage-lsm	RESYSTANCE: Unleashing Hidden Performance of Compaction in LSM-trees via eBPF	Hongsu Byun, Seungjae Lee, Honghyeon Yoo, Myoungjoon Kim, Sungyong Park	Resystance: kernel/offload path for LSM compaction.	arxiv-papers/2603.05162-resystance-unleashing-hidden-performance-of-compaction-in-lsm-trees-via-ebpf.pdf
2005.13762	2005.13762v3	2020-05-28	cs.DB	storage-mmap	CedrusDB: Persistent Key-Value Store with Memory-Mapped Lazy-Trie	Maofan Yin, Hongbo Zhang, Robbert van Renesse, Emin Gün Sirer	CedrusDB: memory-mapped lazy-trie KV store.	arxiv-papers/2005.13762-cedrusdb-persistent-key-value-store-with-memory-mapped-lazy-trie.pdf
2512.04859	2512.04859v2	2025-12-04	cs.DB	storage-io	High-Performance DBMSs with io_uring: When and How to use it	Matthias Jasny, Muhammad El-Hindi, Tobias Ziegler, Viktor Leis, Carsten Binnig	When/how io_uring helps DBMS storage and shuffle workloads.	arxiv-papers/2512.04859-high-performance-dbmss-with-io-uring-when-and-how-to-use-it.pdf
2112.00425	2112.00425v1	2021-12-01	cs.DB	storage-pmem	How to use Persistent Memory in your Database	Dimitrios Koutsoukos, Raghav Bhartia, Ana Klimovic, Gustavo Alonso	Empirical PMEM database guidance.	arxiv-papers/2112.00425-how-to-use-persistent-memory-in-your-database.pdf
2502.09431	2502.09431v1	2025-02-13	cs.DB	storage-pmem	On Usage of Non-Volatile Memory as Primary Storage for Database Management Systems	Naveed Ul Mustafa, Adri`a Armejach, Ozcan Ozturk, Adrian Cristal, Osman S. Unsal	NVM as primary storage for DBMS.	arxiv-papers/2502.09431-on-usage-of-non-volatile-memory-as-primary-storage-for-database-management-syste.pdf
2506.14630	2506.14630v1	2025-06-17	cs.DC,cs.DB	storage-pmem	Keigo: Co-designing Log-Structured Merge Key-Value Stores with a Non-Volatile, Concurrency-aware Storage Hierarchy (Extended Version)	Rúben Adão, Zhongjie Wu, Changjun Zhou, Oana Balmau, João Paulo, Ricardo Macedo	Keigo: LSM with non-volatile concurrency-aware hierarchy.	arxiv-papers/2506.14630-keigo-co-designing-log-structured-merge-key-value-stores-with-a-non-volatile-con.pdf
2108.07223	2108.07223v3	2021-08-10	cs.DC	storage-pmem	Metall: A Persistent Memory Allocator For Data-Centric Analytics	Keita Iwabuchi, Karim Youssef, Kaushik Velusamy, Maya Gokhale, Roger Pearce	Metall: persistent memory allocator for data-centric analytics.	arxiv-papers/2108.07223-metall-a-persistent-memory-allocator-for-data-centric-analytics.pdf
2305.09034	2305.09034v1	2023-05-15	cs.DC	storage-pmem	Blizzard: Adding True Persistence to Main Memory Data Structures	Pradeep Fernando, Daniel Zahka, Ada Gavrilovska, Amitabha Roy, Subramanya R. Dulloor	Blizzard: fault-tolerant PMEM persistent programming runtime.	arxiv-papers/2305.09034-blizzard-adding-true-persistence-to-main-memory-data-structures.pdf
2105.09894	2105.09894v2	2021-05-20	cs.DC	columnar	Towards an Arrow-native Storage System	Jayjeet Chakraborty, Ivo Jimenez, Sebastiaan Alvarez Rodriguez, Alexandru Uta, Jeff LeFevre, Carlos Maltzahn	Arrow-native storage for zero-copy property columns.	arxiv-papers/2105.09894-towards-an-arrow-native-storage-system.pdf
1610.09166	1610.09166v1	2016-10-28	cs.DB,cs.PL	query-engine	Push vs. Pull-Based Loop Fusion in Query Engines	Amir Shaikhha, Mohammad Dashti, Christoph Koch	Loop fusion and execution model choice.	arxiv-papers/1610.09166-push-vs-pull-based-loop-fusion-in-query-engines.pdf
2601.12456	2601.12456v2	2026-01-18	cs.DB	htap	Bringing Data Transformations Near-Memory for Low-Latency Analytics in HTAP Environments	Arthur Bernhardt, David Volz, Sajjad Tamimi, Andreas Koch, Ilia Petrov	Near-memory transformations for HTAP; speculative later input.	arxiv-papers/2601.12456-bringing-data-transformations-near-memory-for-low-latency-analytics-in-htap-envi.pdf
2602.17335	2602.17335v3	2026-02-19	cs.DB,cs.DC	columnar-gpu	Do GPUs Really Need New Tabular File Formats?	Jigao Luo, Qi Chen, Carsten Binnig	Skepticism about new tabular formats; future GPU path only.	arxiv-papers/2602.17335-do-gpus-really-need-new-tabular-file-formats.pdf
2508.04701	2508.04701v3	2025-08-06	cs.DB	columnar-gpu	Rethinking Analytical Processing in the GPU Era	Bobbi Yogatama, Yifei Yang, Kevin Kristensen, Devesh Sarda, Abigale Kim, Adrian Cockcroft, Yu Teng, Joshua Patterson, Gregory Kimball, Wes McKinney, Weiwei Gong, Xiangyao Yu	GPU analytics execution trends; later acceleration only.	arxiv-papers/2508.04701-rethinking-analytical-processing-in-the-gpu-era.pdf
