selection_rank	lane_id	lane_position	pattern_id	source_paper_ids	source_domain	selection_score	selection_basis	reader_agent_id	reviewer_agent_id	inspection_status	terminal_disposition	transfer_ids	evidence_gap	measurement_needed	result_checksum
11	G07-LANE-3	1	PAT-PARTITION-UPDATES-BY-DESTINATION	PAPER-1905.04264	SSD-backed vertex-centric graph processing	99	A007_SPILL_BOUND+MULTI_ALGORITHM+DESTINATION_STAGING+G06_CHALLENGE	019ff565-d6a8-7f91-9432-9cca39ec1f44	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-BOUND-DESTINATION-UPDATE-LOGS		G09_CALIBRATE:c_allocator_ram,c_csr_build_rate,c_csr_read_amplification,c_filesystem_storage,c_interval_plan_rate,c_log_read_amplification,c_log_storage,c_log_write_amplification,c_queue_runtime,c_runtime_ram,c_sort_workspace,c_spill_amplification	30CFE4608F7BAE2507BF236B4E078DEF7FBFD3A0329A372ED8A174DB3583077E
12	G07-LANE-3	2	PAT-PIPELINE-ASYNC-IO-COMPUTE	PAPER-2511.07886	SSD-based semi-external graph processing	98	A007_CONCURRENCY_BOUND+MULTI_ALGORITHM+BOUNDED_PIPELINE+G06_CHALLENGE	019ff565-d6a8-7f91-9432-9cca39ec1f44	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-BOUND-ASYNC-IO-PIPELINE		G09_CALIBRATE:c_buffer_register_rate,c_demand_read_amplification,c_kernel_io_state,c_pipeline_metadata_disk,c_ring_setup_rate,c_runtime_ram,c_speculative_read_amplification	FA0BB2B0AC266E72B438B40DEAADFB085B5FCB6EBDDE85736A4480DEBF85DF57
13	G07-LANE-3	3	PAT-PRIORITIZE-RESIDENT-ACTIVE-BLOCKS	PAPER-2511.07886	SSD-based semi-external graph processing	96	A007_POOL_BOUND+MULTI_ALGORITHM+ACTIVE_BLOCK_SCHEDULE+G06_CHALLENGE	019ff565-d6a8-7f91-9432-9cca39ec1f44	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-CAP-RESIDENT-BLOCK-REUSE		G09_CALIBRATE:c_allocator_ram,c_filesystem_storage,c_fragmentation_storage,c_metadata_build_rate,c_partition_build_rate,c_queue_runtime,c_reload_amplification,c_runtime_ram,c_unique_read_amplification	1D943E514965987DB6554E60F0FA28E46C3F7D40E1873DCCBBF034150EBCB7A2
14	G07-LANE-3	4	PAT-BALANCE-PHASE-SPECIFIC-WORKLOADS	PAPER-2012.10026	multicore hybrid breadth-first search	95	A007_PHASE_RECEIPT+BFS_WCC+BOUNDED_PARTITIONS+G06_CHALLENGE	019ff565-d6a8-7f91-9432-9cca39ec1f44	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-BOUND-PHASE-WORK-SCHEDULING		G09_CALIBRATE:c_allocator_ram,c_bu_read_amplification,c_layout_storage,c_partition_plan_rate,c_profile_scan_rate,c_runtime_ram,c_scheduler_runtime,c_td_read_amplification	FBC75C2D4E6228FD0234E9032AE64EE58E2A5C6BD742180E96CA856E2809DB7A
15	G07-LANE-3	5	PAT-SELECT-PARTITION-SCATTER-MODE	PAPER-1806.08092	frontier-sensitive shared-memory graph communication	94	A007_PLAN_SWITCH+MULTI_ALGORITHM+CALIBRATED_ACCESS_MODE+G06_CHALLENGE	019ff565-d6a8-7f91-9432-9cca39ec1f44	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-CALIBRATE-PARTITION-SCATTER-MODE		G09_CALIBRATE:c_allocator_ram,c_bin_runtime,c_dual_layout_build_rate,c_layout_storage,c_mode_calibration_rate,c_pc_read_amplification,c_runtime_ram,c_sc_read_amplification	A6327AEA3297A7FC36E6D8B0FA34FA01852A6162601ED3779B6A4CCC3FA6731A
16	G07-LANE-4	1	PAT-EXPLORE-SUPERSET-VERIFY-RESULTS	PAPER-2605.17992	SSD-resident filtered approximate nearest-neighbor search	97	A007_APPROXIMATE_BRANCH+KNN_PATHS+EXACT_VERIFICATION+G06_CHALLENGE	019ff565-d873-7091-a05c-ea9a73927c69	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-VERIFY-SUPERSET-RESULTS-EXACTLY		G09_CALIBRATE:alpha_false_positive_expansion,b_runtime_overhead,b_selector_per_node,b_storage_padding,c_graph_layout,c_record_layout,c_scheduler_metadata,c_selector_build,rho_uncolocated_attributes	29BE596F8AACBE78AEDF363B0F55C5C391B725010A62050B5D381D7C129A4BC8
17	G07-LANE-4	2	PAT-NAVIGATE-BINARY-RERANK-EXACTLY	PAPER-2605.02171	quantized graph-based approximate nearest-neighbor search	96	A007_HOT_COLD_SPLIT+KNN+EXACT_RERANK+G06_CHALLENGE	019ff565-d873-7091-a05c-ea9a73927c69	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-NAVIGATE-COMPACT-RERANK-EXACTLY		G09_CALIBRATE:b_adjacency_entry,b_bq_per_dimension,b_float_value,b_runtime_overhead,c_bq_encode,c_geometry_probe,c_graph_construct,c_scheduler_metadata,rho_candidate_page_uniqueness	88C6404D470F4E1018D85A8967749A06158A04550507C7EBB8025116B0B2B4F2
18	G07-LANE-4	3	PAT-STREAM-SPARSE-KEEP-DENSE	PAPER-1602.02864	semi-external-memory sparse-matrix dense-matrix multiplication for graph analytics	95	A007_RAM_BOUND+FASTRP_SPMM+NON_GRAPH_DOMAIN+G06_CHALLENGE	019ff565-d873-7091-a05c-ea9a73927c69	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-STREAM-SPARSE-RETAIN-DENSE		G09_CALIBRATE:b_allocator_headroom,b_async_descriptor,b_dense_element,b_storage_metadata,c_sparse_format_convert,c_tile_index_build,c_work_queue_entry,rho_sparse_read_fraction	FB7E166677B924C411AC526765248EA051C7F487AF7034D0B10A6889270AE784
19	G07-LANE-4	4	PAT-REFINE-COMMUNITIES-BEFORE-AGGREGATION	PAPER-1810.08473	hierarchical community detection on undirected networks	94	A007_COMMUNITY_EXACTNESS+LOUVAIN_LEIDEN+PEAK_STATE+G06_CHALLENGE	019ff565-d873-7091-a05c-ea9a73927c69	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-REFINE-COMMUNITIES-PRESERVE-CONNECTIVITY		G09_CALIBRATE:b_aggregate_edge,b_coarse_assignment,b_community_assignment,b_mapping_entry,b_quality_community,b_quality_node,b_queue_entry,b_refined_assignment,b_runtime_overhead,b_storage_metadata,c_initialization,c_quality_state_initialize,c_scheduler_metadata,rho_external_level_fraction	C20E338DC4EBC68A40E4A4847B2EBAEFE1CED7B3618C79B9DB393E6B037E1AE2
20	G07-LANE-4	5	PAT-BALANCE-BUCKETED-PACKED-SETS	PAPER-0708.3259	word-parallel compact set representation	92	A007_PACKED_STATE+TRIANGLES_SIMILARITY+NON_GRAPH_DOMAIN+G06_CHALLENGE	019ff565-d873-7091-a05c-ea9a73927c69	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-BALANCE-PACKED-ADJACENCY-SETS		G09_CALIBRATE:b_directory_entry,b_field_overhead,b_persistent_header,c_bucket_convert,c_directory_probe,c_scheduler_metadata,rho_payload_page_read_fraction	FD9A1155CF8805245824D22BBDC5E4420926B564A5BFBF38135C27A51BB5EEEA
