candidate_rank	candidate_id	lane_id	lane_position	primary_niche	generator_identity	reviewer_identity	highest_completed_stage	terminal_disposition	inherited_transfer_ids	linked_g06_failure_ids	result_checksum
30	ARCH-G08-030	G08-LANE-PREP	6	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
31	ARCH-G08-031	G08-LANE-PREP	7	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
32	ARCH-G08-032	G08-LANE-PREP	8	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
33	ARCH-G08-033	G08-LANE-ADOPT	1	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
34	ARCH-G08-034	G08-LANE-ADOPT	2	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
35	ARCH-G08-035	G08-LANE-ADOPT	3	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
36	ARCH-G08-036	G08-LANE-ADOPT	4	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
37	ARCH-G08-037	G08-LANE-ADOPT	5	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
38	ARCH-G08-038	G08-LANE-ADOPT	6	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
39	ARCH-G08-039	G08-LANE-ADOPT	7	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
40	ARCH-G08-040	G08-LANE-ADOPT	8	LOWEST_ADOPTION_FRICTION	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
41	ARCH-G08-041	G08-LANE-WILD	1	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
42	ARCH-G08-042	G08-LANE-WILD	2	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
43	ARCH-G08-043	G08-LANE-WILD	3	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
44	ARCH-G08-044	G08-LANE-WILD	4	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
45	ARCH-G08-045	G08-LANE-WILD	5	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
46	ARCH-G08-046	G08-LANE-WILD	6	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
47	ARCH-G08-047	G08-LANE-WILD	7	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
48	ARCH-G08-048	G08-LANE-WILD	8	UNCONVENTIONAL_COMPOSABLE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
49	ARCH-G08-049	G08-LANE-BASE	1	BASELINE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
50	ARCH-G08-050	G08-LANE-BASE	2	BASELINE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
